timelog_id,activity_idref,person_idref,subtask_idref,account_idref,logdate,hours,timestamp
31,18,8,13,101,2005-08-29,4,"2014-09-25 20:16:26"
32,19,3,13,101,2005-07-29,3.75,"2014-09-25 20:16:26"
33,19,3,13,101,2005-07-30,1,"2014-09-25 20:16:26"
34,19,3,13,101,2005-07-31,2,"2014-09-25 20:16:26"
35,20,3,7,101,2005-08-01,2,"2014-09-25 20:16:26"
36,20,3,7,101,2005-08-02,1,"2014-09-25 20:16:26"
37,21,3,13,101,2005-08-03,2.5,"2014-09-25 20:16:26"
38,21,3,13,101,2005-08-04,2.5,"2014-09-25 20:16:26"
39,22,3,13,101,2005-08-08,3,"2014-09-25 20:16:26"
40,22,3,13,101,2005-08-09,1,"2014-09-25 20:16:26"
41,22,3,13,101,2005-08-10,0.75,"2014-09-25 20:16:26"
42,22,3,13,101,2005-08-11,1,"2014-09-25 20:16:26"
43,23,3,13,101,2005-08-17,0.25,"2014-09-25 20:16:26"
44,23,3,13,101,2005-08-18,2.25,"2014-09-25 20:16:26"
45,24,3,7,101,2005-08-22,1.75,"2014-09-25 20:16:26"
46,25,3,13,101,2005-08-23,0.75,"2014-09-25 20:16:26"
47,26,7,14,101,2005-08-15,6,"2014-09-25 20:16:26"
48,27,7,9,101,2005-08-15,1.75,"2014-09-25 20:16:26"
49,28,7,30,101,2005-08-16,5.75,"2014-09-25 20:16:26"
50,29,7,27,101,2005-08-17,3,"2014-09-25 20:16:26"
51,30,7,29,101,2005-08-17,2.5,"2014-09-25 20:16:26"
52,29,7,27,101,2005-08-17,2,"2014-09-25 20:16:26"
53,31,7,9,101,2005-08-18,2.5,"2014-09-25 20:16:26"
54,32,7,28,101,2005-08-18,1,"2014-09-25 20:16:26"
55,33,7,7,101,2005-08-18,2.25,"2014-09-25 20:16:26"
56,34,7,11,101,2005-08-18,0.5,"2014-09-25 20:16:26"
57,35,7,13,101,2005-08-18,0.5,"2014-09-25 20:16:26"
58,36,7,28,101,2005-08-19,1.25,"2014-09-25 20:16:26"
59,37,7,27,101,2005-08-19,1,"2014-09-25 20:16:26"
60,38,7,30,101,2005-08-22,3,"2014-09-25 20:16:26"
61,39,7,29,101,2005-08-22,1.5,"2014-09-25 20:16:26"
62,26,7,14,101,2005-08-22,1.5,"2014-09-25 20:16:26"
63,32,7,28,101,2005-08-22,0.5,"2014-09-25 20:16:26"
64,40,7,29,101,2005-08-23,4,"2014-09-25 20:16:26"
65,41,7,9,101,2005-08-23,1,"2014-09-25 20:16:26"
66,42,7,9,101,2005-08-23,1.5,"2014-09-25 20:16:26"
67,43,7,9,101,2005-08-24,4,"2014-09-25 20:16:26"
68,44,7,30,101,2005-08-24,1,"2014-09-25 20:16:26"
69,45,7,28,101,2005-08-25,0.5,"2014-09-25 20:16:26"
70,46,7,13,101,2005-08-25,3.5,"2014-09-25 20:16:26"
71,47,7,29,101,2005-08-26,1,"2014-09-25 20:16:26"
72,48,7,9,101,2005-08-26,1,"2014-09-25 20:16:26"
73,49,7,14,101,2005-08-26,1.5,"2014-09-25 20:16:26"
74,49,7,14,101,2005-08-27,6.5,"2014-09-25 20:16:26"
75,50,7,29,101,2005-08-29,2,"2014-09-25 20:16:26"
76,51,7,28,101,2005-08-29,2,"2014-09-25 20:16:26"
77,52,7,9,101,2005-08-29,1.5,"2014-09-25 20:16:26"
78,35,7,13,101,2005-08-30,0.5,"2014-09-25 20:16:26"
79,53,7,37,101,2005-08-30,2,"2014-09-25 20:16:26"
80,54,7,28,101,2005-08-30,1,"2014-09-25 20:16:26"
81,55,7,29,101,2005-08-30,1,"2014-09-25 20:16:26"
82,35,7,13,101,2005-08-31,1.5,"2014-09-25 20:16:26"
83,56,7,7,101,2005-08-31,2.5,"2014-09-25 20:16:26"
84,57,7,11,101,2005-08-31,0.5,"2014-09-25 20:16:26"
85,58,7,28,101,2005-08-31,2.5,"2014-09-25 20:16:26"
86,59,7,9,101,2005-08-31,0.75,"2014-09-25 20:16:26"
87,60,2,27,101,2005-08-01,8,"2014-09-25 20:16:26"
88,60,2,27,101,2005-08-02,8,"2014-09-25 20:16:26"
89,60,2,27,101,2005-08-03,4,"2014-09-25 20:16:26"
90,61,2,14,101,2005-08-16,3.5,"2014-09-25 20:16:26"
91,61,2,14,101,2005-08-17,1,"2014-09-25 20:16:26"
92,61,2,14,101,2005-08-18,1,"2014-09-25 20:16:26"
93,62,2,27,101,2005-08-16,2,"2014-09-25 20:16:26"
94,63,2,7,101,2005-08-17,5,"2014-09-25 20:16:26"
95,64,2,27,101,2005-08-18,5,"2014-09-25 20:16:26"
96,65,2,10,101,2005-08-18,2.5,"2014-09-25 20:16:26"
97,66,2,14,101,2005-08-23,3,"2014-09-25 20:16:26"
98,63,2,7,101,2005-08-23,2,"2014-09-25 20:16:26"
99,63,2,7,101,2005-08-25,1,"2014-09-25 20:16:26"
100,67,2,14,101,2005-08-26,9,"2014-09-25 20:16:26"
101,68,2,31,101,2005-08-24,10,"2014-09-25 20:16:26"
102,69,2,30,101,2005-08-25,4,"2014-09-25 20:16:26"
103,70,2,14,101,2005-08-25,2,"2014-09-25 20:16:26"
104,71,2,27,101,2005-08-25,2,"2014-09-25 20:16:26"
105,72,2,14,101,2005-08-25,7,"2014-09-25 20:16:26"
106,73,2,38,101,2005-08-29,7,"2014-09-25 20:16:26"
107,74,2,14,101,2005-08-30,4,"2014-09-25 20:16:26"
108,74,2,14,101,2005-08-31,3,"2014-09-25 20:16:26"
109,75,2,14,101,2005-08-31,2,"2014-09-25 20:16:26"
110,76,2,27,101,2005-08-31,1,"2014-09-25 20:16:26"
111,77,2,14,101,2005-08-30,4,"2014-09-25 20:16:26"
112,77,2,14,101,2005-08-31,3,"2014-09-25 20:16:26"
113,78,1,30,101,2005-07-29,2,"2014-09-25 20:16:26"
114,79,1,14,9,2005-07-29,1,"2014-09-25 20:16:26"
115,80,1,7,101,2005-07-30,1,"2014-09-25 20:16:26"
116,81,1,14,101,2005-07-30,2,"2014-09-25 20:16:26"
117,81,1,14,101,2005-07-31,3,"2014-09-25 20:16:26"
118,82,1,12,101,2005-07-30,0.5,"2014-09-25 20:16:26"
119,83,1,27,101,2005-08-01,8,"2014-09-25 20:16:26"
120,83,1,27,101,2005-08-02,6,"2014-09-25 20:16:26"
121,84,1,11,101,2005-08-03,5,"2014-09-25 20:16:26"
122,85,1,13,101,2005-08-04,1,"2014-09-25 20:16:26"
123,86,1,14,101,2005-08-04,0.5,"2014-09-25 20:16:26"
124,87,1,27,101,2005-08-05,2,"2014-09-25 20:16:26"
125,88,1,14,101,2005-08-05,1,"2014-09-25 20:16:26"
126,89,1,1,101,2005-08-08,4,"2014-09-25 20:16:26"
127,90,1,14,101,2005-08-08,1,"2014-09-25 20:16:26"
128,91,1,27,101,2005-08-09,2,"2014-09-25 20:16:26"
129,92,1,7,101,2005-08-09,1,"2014-09-25 20:16:26"
130,93,1,18,101,2005-08-09,2,"2014-09-25 20:16:26"
131,93,1,18,101,2005-08-10,3,"2014-09-25 20:16:26"
132,94,1,1,101,2005-08-10,0.5,"2014-09-25 20:16:26"
133,95,1,13,101,2005-08-10,1,"2014-09-25 20:16:26"
134,96,1,12,101,2005-08-11,1,"2014-09-25 20:16:26"
135,96,1,12,101,2005-08-12,2,"2014-09-25 20:16:26"
136,97,1,31,101,2005-08-11,2,"2014-09-25 20:16:26"
137,98,1,14,101,2005-08-11,2,"2014-09-25 20:16:26"
138,99,1,14,101,2005-08-12,0.5,"2014-09-25 20:16:26"
139,100,1,31,101,2005-08-12,2,"2014-09-25 20:16:26"
140,101,1,12,101,2005-08-15,1,"2014-09-25 20:16:26"
141,85,1,13,101,2005-08-15,1,"2014-09-25 20:16:26"
142,92,1,7,101,2005-08-15,2,"2014-09-25 20:16:26"
143,92,1,7,101,2005-08-18,1,"2014-09-25 20:16:26"
144,96,1,12,101,2005-08-15,2,"2014-09-25 20:16:26"
145,102,1,14,101,2005-08-15,1,"2014-09-25 20:16:26"
146,102,1,14,101,2005-08-16,1,"2014-09-25 20:16:26"
147,102,1,14,101,2005-08-19,1,"2014-09-25 20:16:26"
148,56,1,7,101,2005-08-16,4,"2014-09-25 20:16:26"
149,103,1,14,101,2005-08-17,1,"2014-09-25 20:16:26"
150,103,1,14,101,2005-08-18,1,"2014-09-25 20:16:26"
151,104,1,31,101,2005-08-17,4,"2014-09-25 20:16:26"
152,105,1,7,101,2005-08-17,1,"2014-09-25 20:16:26"
153,106,1,7,101,2005-08-18,1,"2014-09-25 20:16:26"
154,107,1,13,101,2005-08-18,1,"2014-09-25 20:16:26"
155,108,1,12,101,2005-08-19,6,"2014-09-25 20:16:26"
156,100,1,31,101,2005-08-19,1,"2014-09-25 20:16:26"
157,109,1,12,101,2005-08-22,3.5,"2014-09-25 20:16:26"
158,110,1,14,101,2005-08-22,3,"2014-09-25 20:16:26"
159,111,1,27,101,2005-08-23,1,"2014-09-25 20:16:26"
160,92,1,7,101,2005-08-23,1.5,"2014-09-25 20:16:26"
161,26,1,14,101,2005-08-23,2,"2014-09-25 20:16:26"
162,112,1,13,101,2005-08-24,1,"2014-09-25 20:16:26"
163,113,1,14,101,2005-08-24,1,"2014-09-25 20:16:26"
164,114,1,30,101,2005-08-24,1,"2014-09-25 20:16:26"
165,114,1,30,101,2005-08-25,0.5,"2014-09-25 20:16:26"
166,104,1,31,101,2005-08-24,4,"2014-09-25 20:16:26"
167,115,1,29,101,2005-08-25,1,"2014-09-25 20:16:26"
168,116,1,10,101,2005-08-25,1.5,"2014-09-25 20:16:26"
169,86,1,14,101,2005-08-25,0.5,"2014-09-25 20:16:26"
170,117,1,14,9,2005-08-25,0.5,"2014-09-25 20:16:26"
171,118,1,14,101,2005-08-26,6,"2014-09-25 20:16:27"
172,72,1,14,101,2005-08-27,7,"2014-09-25 20:16:27"
173,119,1,1,101,2005-08-29,3,"2014-09-25 20:16:27"
174,120,1,7,101,2005-08-29,1,"2014-09-25 20:16:27"
175,120,1,7,101,2005-08-30,1,"2014-09-25 20:16:27"
176,121,1,14,101,2005-08-29,1,"2014-09-25 20:16:27"
177,56,1,7,101,2005-08-31,3,"2014-09-25 20:16:27"
178,122,1,13,101,2005-08-31,2,"2014-09-25 20:16:27"
179,123,4,7,101,2005-09-07,0.25,"2014-09-25 20:16:27"
180,123,4,7,101,2005-09-08,0.5,"2014-09-25 20:16:27"
181,124,4,9,101,2005-09-13,0.25,"2014-09-25 20:16:27"
182,124,4,9,101,2005-09-14,0.25,"2014-09-25 20:16:27"
183,124,4,9,101,2005-09-15,0.25,"2014-09-25 20:16:27"
184,125,4,7,101,2005-09-22,0.5,"2014-09-25 20:16:27"
185,126,4,9,101,2005-09-23,0.5,"2014-09-25 20:16:27"
186,127,4,7,101,2005-09-27,0.25,"2014-09-25 20:16:27"
187,127,4,7,101,2005-09-28,0.5,"2014-09-25 20:16:27"
188,128,12,33,11,2005-09-26,2.25,"2014-09-25 20:16:27"
189,129,12,33,16,2005-09-30,6.5,"2014-09-25 20:16:27"
190,18,8,13,101,2005-09-02,3,"2014-09-25 20:16:27"
191,130,8,13,101,2005-09-02,0.5,"2014-09-25 20:16:27"
192,131,8,7,101,2005-09-06,1,"2014-09-25 20:16:27"
193,17,8,28,101,2005-09-06,1,"2014-09-25 20:16:27"
194,132,8,29,101,2005-09-06,1,"2014-09-25 20:16:27"
195,130,8,13,101,2005-09-13,0.5,"2014-09-25 20:16:27"
196,130,8,13,101,2005-09-15,0.5,"2014-09-25 20:16:27"
197,133,8,28,101,2005-09-13,0.5,"2014-09-25 20:16:27"
198,134,8,29,101,2005-09-13,1,"2014-09-25 20:16:27"
199,134,8,29,101,2005-09-15,3,"2014-09-25 20:16:27"
200,135,8,30,101,2005-09-13,1,"2014-09-25 20:16:27"
201,136,8,32,1,2005-09-13,1,"2014-09-25 20:16:27"
202,137,8,32,10,2005-09-15,6,"2014-09-25 20:16:27"
203,138,8,32,11,2005-09-13,1,"2014-09-25 20:16:27"
204,139,8,33,12,2005-09-13,1,"2014-09-25 20:16:27"
205,139,8,33,12,2005-09-15,1.5,"2014-09-25 20:16:27"
206,140,8,7,101,2005-09-19,1,"2014-09-25 20:16:27"
207,140,8,7,101,2005-09-20,2,"2014-09-25 20:16:27"
208,130,8,13,101,2005-09-19,0.5,"2014-09-25 20:16:27"
209,130,8,13,101,2005-09-20,0.5,"2014-09-25 20:16:27"
210,130,8,13,101,2005-09-22,0.5,"2014-09-25 20:16:27"
211,141,8,33,101,2005-09-22,2,"2014-09-25 20:16:27"
212,142,8,28,101,2005-09-20,3,"2014-09-25 20:16:27"
213,143,8,30,101,2005-09-20,0.5,"2014-09-25 20:16:27"
214,144,8,32,1,2005-09-20,1.5,"2014-09-25 20:16:27"
215,145,8,32,1,2005-09-20,1.5,"2014-09-25 20:16:27"
216,146,8,32,10,2005-09-22,7,"2014-09-25 20:16:27"
217,147,8,32,11,2005-09-20,1.5,"2014-09-25 20:16:27"
218,148,8,33,12,2005-09-19,2,"2014-09-25 20:16:27"
219,148,8,33,12,2005-09-20,0.5,"2014-09-25 20:16:27"
220,149,8,33,12,2005-09-21,7,"2014-09-25 20:16:27"
221,130,8,13,101,2005-09-29,1,"2014-09-25 20:16:27"
222,150,8,29,101,2005-09-27,4,"2014-09-25 20:16:27"
223,150,8,29,101,2005-09-28,2,"2014-09-25 20:16:27"
224,151,8,29,101,2005-09-27,1.5,"2014-09-25 20:16:27"
225,151,8,29,101,2005-09-29,3,"2014-09-25 20:16:27"
226,152,8,32,13,2005-09-27,3.5,"2014-09-25 20:16:27"
227,153,8,32,14,2005-09-28,1.5,"2014-09-25 20:16:27"
228,154,8,32,11,2005-09-26,1,"2014-09-25 20:16:27"
229,155,8,32,10,2005-09-29,4,"2014-09-25 20:16:27"
230,156,8,32,15,2005-09-28,3,"2014-09-25 20:16:27"
231,157,8,33,16,2005-09-30,4,"2014-09-25 20:16:27"
232,158,3,15,101,2005-09-01,4.5,"2014-09-25 20:16:27"
233,158,3,15,101,2005-09-07,2.75,"2014-09-25 20:16:27"
234,158,3,15,101,2005-09-09,0.25,"2014-09-25 20:16:27"
235,159,3,9,101,2005-09-06,0.5,"2014-09-25 20:16:27"
236,159,3,9,101,2005-09-09,0.5,"2014-09-25 20:16:27"
237,160,3,15,101,2005-09-12,0.25,"2014-09-25 20:16:27"
238,160,3,15,101,2005-09-13,3.5,"2014-09-25 20:16:27"
239,161,3,15,101,2005-09-21,0.5,"2014-09-25 20:16:27"
240,162,3,15,101,2005-09-19,1.5,"2014-09-25 20:16:27"
241,162,3,15,101,2005-09-20,1,"2014-09-25 20:16:27"
242,162,3,15,101,2005-09-22,0.25,"2014-09-25 20:16:27"
243,159,3,9,101,2005-09-19,1,"2014-09-25 20:16:27"
244,163,3,7,101,2005-09-27,0.5,"2014-09-25 20:16:27"
245,163,3,7,101,2005-09-30,0.5,"2014-09-25 20:16:27"
246,164,3,13,101,2005-09-28,0.75,"2014-09-25 20:16:27"
247,165,3,9,101,2005-09-26,1,"2014-09-25 20:16:27"
248,165,3,9,101,2005-09-27,0.25,"2014-09-25 20:16:27"
249,165,3,9,101,2005-09-30,0.75,"2014-09-25 20:16:27"
250,166,7,13,101,2005-08-31,2,"2014-09-25 20:16:27"
251,166,7,13,101,2005-09-02,0.25,"2014-09-25 20:16:27"
252,167,7,28,101,2005-08-31,1.5,"2014-09-25 20:16:27"
253,168,7,7,101,2005-08-31,3,"2014-09-25 20:16:27"
254,168,7,7,101,2005-09-01,2,"2014-09-25 20:16:27"
255,168,7,7,101,2005-09-02,2,"2014-09-25 20:16:27"
256,169,7,28,101,2005-09-01,1,"2014-09-25 20:16:27"
257,170,7,29,101,2005-09-02,2.25,"2014-09-25 20:16:27"
258,171,7,28,7,2005-09-02,1.25,"2014-09-25 20:16:27"
259,171,7,28,11,2005-09-04,0.5,"2014-09-25 20:16:27"
260,171,7,28,101,2005-09-02,1.25,"2014-09-25 20:16:27"
261,172,7,7,101,2005-08-31,0.25,"2014-09-25 20:16:27"
262,173,7,9,101,2005-09-01,0.75,"2014-09-25 20:16:27"
263,174,7,13,101,2005-08-31,1.25,"2014-09-25 20:16:27"
264,174,7,13,101,2005-09-01,1.25,"2014-09-25 20:16:27"
265,175,7,14,10,2005-09-06,0.25,"2014-09-25 20:16:27"
266,176,7,28,101,2005-09-06,0.75,"2014-09-25 20:16:27"
267,177,7,28,12,2005-09-06,0.25,"2014-09-25 20:16:27"
268,178,7,7,101,2005-09-06,2,"2014-09-25 20:16:27"
269,179,7,28,101,2005-09-06,2,"2014-09-25 20:16:27"
270,180,7,29,101,2005-09-06,1.5,"2014-09-25 20:16:27"
271,181,7,9,101,2005-09-06,1,"2014-09-25 20:16:27"
272,182,7,9,101,2005-09-07,2,"2014-09-25 20:16:27"
273,183,7,7,101,2005-09-07,1.25,"2014-09-25 20:16:27"
274,184,7,28,101,2005-09-07,2.25,"2014-09-25 20:16:27"
275,185,7,39,101,2005-09-07,0.5,"2014-09-25 20:16:27"
276,186,7,9,101,2005-09-07,1.5,"2014-09-25 20:16:27"
277,187,7,9,101,2005-09-08,2.25,"2014-09-25 20:16:27"
278,180,7,29,101,2005-09-08,1.5,"2014-09-25 20:16:27"
279,188,7,14,101,2005-09-08,2.5,"2014-09-25 20:16:27"
280,32,7,28,101,2005-09-08,0.5,"2014-09-25 20:16:27"
281,189,7,9,101,2005-09-09,2,"2014-09-25 20:16:27"
282,190,7,32,7,2005-09-09,3.5,"2014-09-25 20:16:27"
283,191,7,9,101,2005-09-09,1.75,"2014-09-25 20:16:27"
284,192,7,9,101,2005-09-10,0.25,"2014-09-25 20:16:27"
285,193,7,29,101,2005-09-08,3.25,"2014-09-25 20:16:27"
286,193,7,29,101,2005-09-09,1.5,"2014-09-25 20:16:27"
287,194,7,32,11,2005-09-12,2,"2014-09-25 20:16:27"
288,195,7,32,1,2005-09-12,2,"2014-09-25 20:16:27"
289,196,7,28,101,2005-09-12,2,"2014-09-25 20:16:27"
290,197,7,9,101,2005-09-12,1,"2014-09-25 20:16:27"
291,198,7,14,101,2005-09-12,0.5,"2014-09-25 20:16:27"
292,199,7,9,101,2005-09-13,1,"2014-09-25 20:16:27"
293,199,7,9,101,2005-09-16,0.5,"2014-09-25 20:16:27"
294,200,7,28,14,2005-09-13,2,"2014-09-25 20:16:27"
295,200,7,28,14,2005-09-15,0.25,"2014-09-25 20:16:27"
296,200,7,28,14,2005-09-16,1.25,"2014-09-25 20:16:27"
297,201,7,29,12,2005-09-13,0.25,"2014-09-25 20:16:27"
298,202,7,29,16,2005-09-13,0.5,"2014-09-25 20:16:27"
299,202,7,29,16,2005-09-15,1,"2014-09-25 20:16:27"
300,203,7,29,101,2005-09-13,1,"2014-09-25 20:16:27"
301,204,7,28,17,2005-09-13,0.25,"2014-09-25 20:16:27"
302,205,7,28,10,2005-09-13,1,"2014-09-25 20:16:27"
303,206,7,7,101,2005-09-14,0.75,"2014-09-25 20:16:27"
304,207,7,9,101,2005-09-14,1,"2014-09-25 20:16:27"
305,208,7,9,101,2005-09-14,1,"2014-09-25 20:16:27"
306,209,7,14,18,2005-09-14,0.75,"2014-09-25 20:16:27"
307,210,7,7,101,2005-09-14,0.5,"2014-09-25 20:16:27"
308,211,7,29,101,2005-09-14,0.5,"2014-09-25 20:16:27"
309,212,7,9,101,2005-09-14,0.5,"2014-09-25 20:16:27"
310,213,7,29,101,2005-09-14,0.5,"2014-09-25 20:16:27"
311,214,7,11,101,2005-09-14,0.5,"2014-09-25 20:16:27"
312,215,7,13,101,2005-09-14,0.5,"2014-09-25 20:16:27"
313,215,7,13,101,2005-09-16,0.25,"2014-09-25 20:16:27"
314,216,7,7,101,2005-09-14,0.5,"2014-09-25 20:16:27"
315,216,7,7,101,2005-09-15,0.5,"2014-09-25 20:16:27"
316,216,7,7,101,2005-09-16,1,"2014-09-25 20:16:27"
317,217,7,32,10,2005-09-15,2,"2014-09-25 20:16:27"
318,218,7,33,7,2005-09-16,1.5,"2014-09-25 20:16:27"
319,219,7,32,7,2005-09-16,2,"2014-09-25 20:16:27"
320,220,7,29,101,2005-09-13,1,"2014-09-25 20:16:27"
321,221,7,7,101,2005-09-14,0.5,"2014-09-25 20:16:27"
322,221,7,7,101,2005-09-16,0.5,"2014-09-25 20:16:27"
323,222,7,9,101,2005-09-14,0.5,"2014-09-25 20:16:27"
324,223,7,9,101,2005-09-13,1.5,"2014-09-25 20:16:27"
325,224,7,9,101,2005-09-13,0.25,"2014-09-25 20:16:27"
326,225,7,7,101,2005-09-13,0.75,"2014-09-25 20:16:27"
327,226,7,29,101,2005-09-15,1.5,"2014-09-25 20:16:27"
328,227,7,29,101,2005-09-15,1.25,"2014-09-25 20:16:27"
329,228,7,14,15,2005-09-15,0.5,"2014-09-25 20:16:27"
330,229,7,32,11,2005-09-19,2.75,"2014-09-25 20:16:27"
331,230,7,9,101,2005-09-19,1,"2014-09-25 20:16:27"
332,231,7,9,101,2005-09-19,0.5,"2014-09-25 20:16:27"
333,231,7,9,101,2005-09-23,2,"2014-09-25 20:16:27"
334,232,7,28,11,2005-09-19,1,"2014-09-25 20:16:27"
335,233,7,28,14,2005-09-19,1.25,"2014-09-25 20:16:27"
336,234,7,28,16,2005-09-19,0.75,"2014-09-25 20:16:27"
337,235,7,14,101,2005-09-19,0.5,"2014-09-25 20:16:27"
338,236,7,7,101,2005-09-19,0.75,"2014-09-25 20:16:27"
339,237,7,9,101,2005-09-19,0.5,"2014-09-25 20:16:27"
340,237,7,9,101,2005-09-21,1.25,"2014-09-25 20:16:27"
341,238,7,7,101,2005-09-19,0.25,"2014-09-25 20:16:27"
342,239,7,28,101,2005-09-22,0.75,"2014-09-25 20:16:27"
343,240,7,13,101,2005-09-20,0.75,"2014-09-25 20:16:27"
344,240,7,13,101,2005-09-21,0.5,"2014-09-25 20:16:27"
345,240,7,13,101,2005-09-23,0.25,"2014-09-25 20:16:27"
346,241,7,33,1,2005-09-20,2.25,"2014-09-25 20:16:27"
347,241,7,33,1,2005-09-22,2.25,"2014-09-25 20:16:27"
348,242,7,11,101,2005-09-20,0.5,"2014-09-25 20:16:27"
349,243,7,14,101,2005-09-20,0.5,"2014-09-25 20:16:27"
350,56,7,7,101,2005-09-20,1.5,"2014-09-25 20:16:27"
351,244,7,28,101,2005-09-20,1.75,"2014-09-25 20:16:27"
352,245,7,9,101,2005-09-20,0.5,"2014-09-25 20:16:27"
353,246,7,28,20,2005-09-20,0.5,"2014-09-25 20:16:27"
354,247,7,33,11,2005-09-20,0.5,"2014-09-25 20:16:27"
355,248,7,29,101,2005-09-20,0.5,"2014-09-25 20:16:27"
356,249,7,32,10,2005-09-21,3.5,"2014-09-25 20:16:27"
357,250,7,14,16,2005-09-21,1.25,"2014-09-25 20:16:27"
358,251,7,7,101,2005-09-21,0.5,"2014-09-25 20:16:27"
359,252,7,33,101,2005-09-21,0.5,"2014-09-25 20:16:27"
360,252,7,33,101,2005-09-22,0.5,"2014-09-25 20:16:27"
361,252,7,33,101,2005-09-23,0.5,"2014-09-25 20:16:27"
362,253,7,7,101,2005-09-22,1.75,"2014-09-25 20:16:27"
363,254,7,29,101,2005-09-21,1,"2014-09-25 20:16:27"
364,255,7,28,22,2005-09-22,1,"2014-09-25 20:16:27"
365,256,7,9,101,2005-09-22,0.75,"2014-09-25 20:16:27"
366,257,7,14,23,2005-09-23,2.5,"2014-09-25 20:16:27"
367,258,7,28,24,2005-09-23,0.25,"2014-09-25 20:16:27"
368,259,7,29,23,2005-09-23,0.5,"2014-09-25 20:16:27"
369,174,7,13,101,2005-09-28,1,"2014-09-25 20:16:27"
370,174,7,13,101,2005-09-29,1,"2014-09-25 20:16:27"
371,260,7,28,11,2005-09-26,0.75,"2014-09-25 20:16:27"
372,261,7,28,14,2005-09-26,2,"2014-09-25 20:16:27"
373,262,7,14,16,2005-09-26,0.5,"2014-09-25 20:16:27"
374,263,7,14,16,2005-09-26,0.5,"2014-09-25 20:16:27"
375,264,7,33,11,2005-09-26,4.75,"2014-09-25 20:16:27"
376,264,7,33,11,2005-09-30,7.25,"2014-09-25 20:16:27"
377,265,7,32,14,2005-09-27,3,"2014-09-25 20:16:27"
378,265,7,32,14,2005-09-28,3.25,"2014-09-25 20:16:27"
379,265,7,32,14,2005-09-30,1.25,"2014-09-25 20:16:27"
380,266,7,32,10,2005-09-28,3.5,"2014-09-25 20:16:27"
381,266,7,32,10,2005-09-29,5,"2014-09-25 20:16:27"
382,267,7,29,10,2005-09-28,1,"2014-09-25 20:16:27"
383,268,7,28,10,2005-09-28,1,"2014-09-25 20:16:27"
384,269,7,28,10,2005-09-27,0.75,"2014-09-25 20:16:27"
385,270,7,14,13,2005-09-27,0.5,"2014-09-25 20:16:27"
386,271,7,9,101,2005-09-27,0.75,"2014-09-25 20:16:27"
387,272,7,32,16,2005-09-30,1,"2014-09-25 20:16:27"
388,273,7,14,16,2005-09-30,0.5,"2014-09-25 20:16:27"
389,274,7,9,101,2005-09-30,0.75,"2014-09-25 20:16:27"
390,275,2,27,101,2005-08-31,2,"2014-09-25 20:16:27"
391,276,2,14,101,2005-08-31,2,"2014-09-25 20:16:27"
392,277,2,14,101,2005-08-31,1,"2014-09-25 20:16:27"
393,278,2,14,101,2005-08-31,1.5,"2014-09-25 20:16:27"
394,279,2,7,101,2005-08-31,1.5,"2014-09-25 20:16:27"
395,280,2,27,101,2005-09-05,1,"2014-09-25 20:16:27"
396,281,2,7,101,2005-09-05,2,"2014-09-25 20:16:27"
397,282,2,14,101,2005-09-05,2,"2014-09-25 20:16:27"
