"TimeLog_ID","Action_IDRef","Person_IDRef","LogDate","Hours"
212,142,8,2005-9-20 0:00:00,3.00
213,143,8,2005-9-20 0:00:00,0.50
214,144,8,2005-9-20 0:00:00,1.50
215,145,8,2005-9-20 0:00:00,1.50
216,146,8,2005-9-22 0:00:00,7.00
217,147,8,2005-9-20 0:00:00,1.50
218,148,8,2005-9-19 0:00:00,2.00
219,148,8,2005-9-20 0:00:00,0.50
220,149,8,2005-9-21 0:00:00,7.00
221,130,8,2005-9-29 0:00:00,1.00
222,150,8,2005-9-27 0:00:00,4.00
223,150,8,2005-9-28 0:00:00,2.00
224,151,8,2005-9-27 0:00:00,1.50
225,151,8,2005-9-29 0:00:00,3.00
226,152,8,2005-9-27 0:00:00,3.50
227,153,8,2005-9-28 0:00:00,1.50
228,154,8,2005-9-26 0:00:00,1.00
229,155,8,2005-9-29 0:00:00,4.00
230,156,8,2005-9-28 0:00:00,3.00
231,157,8,2005-9-30 0:00:00,4.00
232,158,3,2005-9-1 0:00:00,4.50
233,158,3,2005-9-7 0:00:00,2.75
234,158,3,2005-9-9 0:00:00,0.25
235,159,3,2005-9-6 0:00:00,0.50
236,159,3,2005-9-9 0:00:00,0.50
237,160,3,2005-9-12 0:00:00,0.25
238,160,3,2005-9-13 0:00:00,3.50
239,161,3,2005-9-21 0:00:00,0.50
240,162,3,2005-9-19 0:00:00,1.50
241,162,3,2005-9-20 0:00:00,1.00
242,162,3,2005-9-22 0:00:00,0.25
243,159,3,2005-9-19 0:00:00,1.00
244,163,3,2005-9-27 0:00:00,0.50
245,163,3,2005-9-30 0:00:00,0.50
246,164,3,2005-9-28 0:00:00,0.75
247,165,3,2005-9-26 0:00:00,1.00
248,165,3,2005-9-27 0:00:00,0.25
249,165,3,2005-9-30 0:00:00,0.75
250,166,7,2005-8-31 0:00:00,2.00
251,166,7,2005-9-2 0:00:00,0.25
252,167,7,2005-8-31 0:00:00,1.50
253,168,7,2005-8-31 0:00:00,3.00
254,168,7,2005-9-1 0:00:00,2.00
255,168,7,2005-9-2 0:00:00,2.00
256,169,7,2005-9-1 0:00:00,1.00
257,170,7,2005-9-2 0:00:00,2.25
258,171,7,2005-9-2 0:00:00,1.25
259,171,7,2005-9-4 0:00:00,0.50
260,171,7,2005-9-2 0:00:00,1.25
261,172,7,2005-8-31 0:00:00,0.25
262,173,7,2005-9-1 0:00:00,0.75
263,174,7,2005-8-31 0:00:00,1.25
264,174,7,2005-9-1 0:00:00,1.25
265,175,7,2005-9-6 0:00:00,0.25
266,176,7,2005-9-6 0:00:00,0.75
267,177,7,2005-9-6 0:00:00,0.25
268,178,7,2005-9-6 0:00:00,2.00
269,179,7,2005-9-6 0:00:00,2.00
270,180,7,2005-9-6 0:00:00,1.50
271,181,7,2005-9-6 0:00:00,1.00
272,182,7,2005-9-7 0:00:00,2.00
273,183,7,2005-9-7 0:00:00,1.25
274,184,7,2005-9-7 0:00:00,2.25
275,185,7,2005-9-7 0:00:00,0.50
276,186,7,2005-9-7 0:00:00,1.50
277,187,7,2005-9-8 0:00:00,2.25
278,180,7,2005-9-8 0:00:00,1.50
279,188,7,2005-9-8 0:00:00,2.50
280,32,7,2005-9-8 0:00:00,0.50
281,189,7,2005-9-9 0:00:00,2.00
282,190,7,2005-9-9 0:00:00,3.50
283,191,7,2005-9-9 0:00:00,1.75
284,192,7,2005-9-10 0:00:00,0.25
285,193,7,2005-9-8 0:00:00,3.25
286,193,7,2005-9-9 0:00:00,1.50
287,194,7,2005-9-12 0:00:00,2.00
288,195,7,2005-9-12 0:00:00,2.00
289,196,7,2005-9-12 0:00:00,2.00
290,197,7,2005-9-12 0:00:00,1.00
291,198,7,2005-9-12 0:00:00,0.50
292,199,7,2005-9-13 0:00:00,1.00
293,199,7,2005-9-16 0:00:00,0.50
294,200,7,2005-9-13 0:00:00,2.00
295,200,7,2005-9-15 0:00:00,0.25
296,200,7,2005-9-16 0:00:00,1.25
297,201,7,2005-9-13 0:00:00,0.25
298,202,7,2005-9-13 0:00:00,0.50
299,202,7,2005-9-15 0:00:00,1.00
300,203,7,2005-9-13 0:00:00,1.00
301,204,7,2005-9-13 0:00:00,0.25
302,205,7,2005-9-13 0:00:00,1.00
303,206,7,2005-9-14 0:00:00,0.75
304,207,7,2005-9-14 0:00:00,1.00
305,208,7,2005-9-14 0:00:00,1.00
306,209,7,2005-9-14 0:00:00,0.75
307,210,7,2005-9-14 0:00:00,0.50
308,211,7,2005-9-14 0:00:00,0.50
309,212,7,2005-9-14 0:00:00,0.50
310,213,7,2005-9-14 0:00:00,0.50
311,214,7,2005-9-14 0:00:00,0.50
312,215,7,2005-9-14 0:00:00,0.50
313,215,7,2005-9-16 0:00:00,0.25
314,216,7,2005-9-14 0:00:00,0.50
315,216,7,2005-9-15 0:00:00,0.50
316,216,7,2005-9-16 0:00:00,1.00
317,217,7,2005-9-15 0:00:00,2.00
318,218,7,2005-9-16 0:00:00,1.50
319,219,7,2005-9-16 0:00:00,2.00
320,220,7,2005-9-13 0:00:00,1.00
321,221,7,2005-9-14 0:00:00,0.50
322,221,7,2005-9-16 0:00:00,0.50
323,222,7,2005-9-14 0:00:00,0.50
324,223,7,2005-9-13 0:00:00,1.50
325,224,7,2005-9-13 0:00:00,0.25
326,225,7,2005-9-13 0:00:00,0.75
327,226,7,2005-9-15 0:00:00,1.50
328,227,7,2005-9-15 0:00:00,1.25
329,228,7,2005-9-15 0:00:00,0.50
330,229,7,2005-9-19 0:00:00,2.75
331,230,7,2005-9-19 0:00:00,1.00
332,231,7,2005-9-19 0:00:00,0.50
333,231,7,2005-9-23 0:00:00,2.00
334,232,7,2005-9-19 0:00:00,1.00
335,233,7,2005-9-19 0:00:00,1.25
336,234,7,2005-9-19 0:00:00,0.75
337,235,7,2005-9-19 0:00:00,0.50
338,236,7,2005-9-19 0:00:00,0.75
339,237,7,2005-9-19 0:00:00,0.50
340,237,7,2005-9-21 0:00:00,1.25
341,238,7,2005-9-19 0:00:00,0.25
342,239,7,2005-9-22 0:00:00,0.75
343,240,7,2005-9-20 0:00:00,0.75
344,240,7,2005-9-21 0:00:00,0.50
345,240,7,2005-9-23 0:00:00,0.25
346,241,7,2005-9-20 0:00:00,2.25
347,241,7,2005-9-22 0:00:00,2.25
348,242,7,2005-9-20 0:00:00,0.50
349,243,7,2005-9-20 0:00:00,0.50
350,56,7,2005-9-20 0:00:00,1.50
351,244,7,2005-9-20 0:00:00,1.75
352,245,7,2005-9-20 0:00:00,0.50
353,246,7,2005-9-20 0:00:00,0.50
354,247,7,2005-9-20 0:00:00,0.50
355,248,7,2005-9-20 0:00:00,0.50
356,249,7,2005-9-21 0:00:00,3.50
357,250,7,2005-9-21 0:00:00,1.25
358,251,7,2005-9-21 0:00:00,0.50
359,252,7,2005-9-21 0:00:00,0.50
360,252,7,2005-9-22 0:00:00,0.50
361,252,7,2005-9-23 0:00:00,0.50
362,253,7,2005-9-22 0:00:00,1.75
363,254,7,2005-9-21 0:00:00,1.00
364,255,7,2005-9-22 0:00:00,1.00
365,256,7,2005-9-22 0:00:00,0.75
366,257,7,2005-9-23 0:00:00,2.50
367,258,7,2005-9-23 0:00:00,0.25
368,259,7,2005-9-23 0:00:00,0.50
369,174,7,2005-9-28 0:00:00,1.00
370,174,7,2005-9-29 0:00:00,1.00
371,260,7,2005-9-26 0:00:00,0.75
372,261,7,2005-9-26 0:00:00,2.00
373,262,7,2005-9-26 0:00:00,0.50
374,263,7,2005-9-26 0:00:00,0.50
375,264,7,2005-9-26 0:00:00,4.75
376,264,7,2005-9-30 0:00:00,7.25
377,265,7,2005-9-27 0:00:00,3.00
378,265,7,2005-9-28 0:00:00,3.25
379,265,7,2005-9-30 0:00:00,1.25
380,266,7,2005-9-28 0:00:00,3.50
381,266,7,2005-9-29 0:00:00,5.00
382,267,7,2005-9-28 0:00:00,1.00
383,268,7,2005-9-28 0:00:00,1.00
384,269,7,2005-9-27 0:00:00,0.75
385,270,7,2005-9-27 0:00:00,0.50
386,271,7,2005-9-27 0:00:00,0.75
387,272,7,2005-9-30 0:00:00,1.00
388,273,7,2005-9-30 0:00:00,0.50
389,274,7,2005-9-30 0:00:00,0.75
390,275,2,2005-8-31 0:00:00,2.00
391,276,2,2005-8-31 0:00:00,2.00
392,277,2,2005-8-31 0:00:00,1.00
393,278,2,2005-8-31 0:00:00,1.50
394,279,2,2005-8-31 0:00:00,1.50
395,280,2,2005-9-5 0:00:00,1.00
396,281,2,2005-9-5 0:00:00,2.00
397,282,2,2005-9-5 0:00:00,2.00
398,283,2,2005-9-5 0:00:00,0.50
399,284,2,2005-9-5 0:00:00,1.50
400,285,2,2005-9-5 0:00:00,1.00
401,286,2,2005-9-6 0:00:00,1.00
402,287,2,2005-9-6 0:00:00,2.00
403,288,2,2005-9-6 0:00:00,3.00
404,289,2,2005-9-6 0:00:00,2.00
405,290,2,2005-9-7 0:00:00,1.00
406,291,2,2005-9-7 0:00:00,3.00
407,292,2,2005-9-7 0:00:00,2.00
408,293,2,2005-9-7 0:00:00,2.00
409,294,2,2005-9-8 0:00:00,3.00
410,295,2,2005-9-9 0:00:00,2.00
411,296,2,2005-9-9 0:00:00,3.00
412,297,2,2005-9-11 0:00:00,3.00
413,298,2,2005-9-11 0:00:00,2.00
414,299,2,2005-9-11 0:00:00,2.00
415,300,2,2005-9-11 0:00:00,1.00
416,299,2,2005-9-12 0:00:00,2.00
417,301,2,2005-9-12 0:00:00,1.00
418,302,2,2005-9-12 0:00:00,3.00
419,303,2,2005-9-12 0:00:00,2.00
420,304,2,2005-9-13 0:00:00,2.00
421,305,2,2005-9-13 0:00:00,1.00
422,306,2,2005-9-13 0:00:00,1.00
423,307,2,2005-9-13 0:00:00,2.00
424,308,2,2005-9-13 0:00:00,2.00
425,309,2,2005-9-14 0:00:00,2.00
426,310,2,2005-9-14 0:00:00,1.00
427,311,2,2005-9-14 0:00:00,1.00
428,312,2,2005-9-14 0:00:00,1.00
429,301,2,2005-9-14 0:00:00,2.00
430,298,2,2005-9-14 0:00:00,1.00
431,313,2,2005-9-11 0:00:00,1.00
432,302,2,2005-9-19 0:00:00,1.00
433,314,2,2005-9-19 0:00:00,2.00
434,315,2,2005-9-19 0:00:00,2.00
435,316,2,2005-9-19 0:00:00,2.00
436,317,2,2005-9-19 0:00:00,1.00
437,318,2,2005-9-20 0:00:00,2.00
438,319,2,2005-9-20 0:00:00,1.00
439,298,2,2005-9-20 0:00:00,2.00
440,320,2,2005-9-20 0:00:00,1.00
441,321,2,2005-9-20 0:00:00,2.00
442,322,2,2005-9-21 0:00:00,1.00
443,323,2,2005-9-21 0:00:00,2.00
444,324,2,2005-9-21 0:00:00,2.00
445,325,2,2005-9-21 0:00:00,1.00
446,298,2,2005-9-21 0:00:00,2.00
447,326,2,2005-9-22 0:00:00,2.00
448,327,2,2005-9-22 0:00:00,2.00
449,328,2,2005-9-22 0:00:00,1.00
450,298,2,2005-9-22 0:00:00,1.00
451,329,2,2005-9-22 0:00:00,2.00
452,330,2,2005-9-21 0:00:00,2.00
453,331,2,2005-9-22 0:00:00,3.00
454,332,2,2005-9-22 0:00:00,1.00
455,333,2,2005-9-19 0:00:00,2.00
456,334,2,2005-9-26 0:00:00,4.00
457,335,2,2005-9-26 0:00:00,1.00
458,336,2,2005-9-26 0:00:00,3.00
459,337,2,2005-9-26 0:00:00,1.00
460,338,2,2005-9-27 0:00:00,1.00
461,339,2,2005-9-27 0:00:00,1.00
462,340,2,2005-9-27 0:00:00,1.00
463,341,2,2005-9-27 0:00:00,1.00
464,342,2,2005-9-27 0:00:00,2.00
465,343,2,2005-9-28 0:00:00,7.00
466,344,2,2005-9-28 0:00:00,3.00
467,345,2,2005-9-28 0:00:00,1.00
468,346,2,2005-9-28 0:00:00,2.00
469,347,2,2005-9-29 0:00:00,8.00
470,348,2,2005-9-30 0:00:00,2.00
471,349,2,2005-9-30 0:00:00,2.00
472,350,1,2005-9-4 0:00:00,1.00
473,350,1,2005-9-5 0:00:00,0.50
474,351,1,2005-9-4 0:00:00,1.00
475,351,1,2005-9-5 0:00:00,0.25
476,352,1,2005-9-4 0:00:00,0.50
477,353,1,2005-9-4 0:00:00,0.75
478,354,1,2005-9-4 0:00:00,2.00
479,354,1,2005-9-5 0:00:00,1.75
480,355,1,2005-9-4 0:00:00,0.75
481,356,1,2005-9-5 0:00:00,1.00
482,357,1,2005-9-5 0:00:00,0.50
483,358,1,2005-9-5 0:00:00,0.25
484,359,1,2005-9-5 0:00:00,0.25
485,360,1,2005-9-6 0:00:00,1.50
486,361,1,2005-9-6 0:00:00,2.00
487,361,1,2005-9-7 0:00:00,1.50
488,361,1,2005-9-8 0:00:00,0.50
489,362,1,2005-9-6 0:00:00,0.50
490,362,1,2005-9-7 0:00:00,0.75
491,362,1,2005-9-8 0:00:00,0.50
492,363,1,2005-9-6 0:00:00,1.00
493,364,1,2005-9-6 0:00:00,0.50
494,364,1,2005-9-7 0:00:00,0.50
495,365,1,2005-9-6 0:00:00,0.50
496,365,1,2005-9-7 0:00:00,0.25
497,366,1,2005-9-7 0:00:00,0.50
498,367,1,2005-9-7 0:00:00,3.00
499,368,1,2005-9-8 0:00:00,0.75
500,369,1,2005-9-8 0:00:00,2.00
501,370,1,2005-9-12 0:00:00,2.50
502,370,1,2005-9-13 0:00:00,2.50
503,371,1,2005-9-12 0:00:00,3.00
504,372,1,2005-9-12 0:00:00,0.50
505,372,1,2005-9-13 0:00:00,0.25
506,373,1,2005-9-12 0:00:00,1.00
507,373,1,2005-9-13 0:00:00,1.50
508,373,1,2005-9-14 0:00:00,0.50
509,373,1,2005-9-15 0:00:00,0.50
510,373,1,2005-9-16 0:00:00,0.50
511,373,1,2005-9-17 0:00:00,0.50
512,374,1,2005-9-13 0:00:00,0.75
513,375,1,2005-9-13 0:00:00,1.00
514,376,1,2005-9-14 0:00:00,0.50
515,377,1,2005-9-19 0:00:00,2.00
516,378,1,2005-9-19 0:00:00,0.50
517,379,1,2005-9-19 0:00:00,0.50
518,380,1,2005-9-19 0:00:00,0.50
519,381,1,2005-9-19 0:00:00,0.50
520,382,1,2005-9-19 0:00:00,1.00
521,382,1,2005-9-20 0:00:00,1.00
522,382,1,2005-9-21 0:00:00,1.50
523,382,1,2005-9-22 0:00:00,1.50
524,382,1,2005-9-23 0:00:00,1.00
525,383,1,2005-9-19 0:00:00,0.50
526,384,1,2005-9-19 0:00:00,0.50
527,385,1,2005-9-20 0:00:00,2.00
528,386,1,2005-9-20 0:00:00,1.00
529,386,1,2005-9-22 0:00:00,3.75
530,387,1,2005-9-20 0:00:00,1.00
531,387,1,2005-9-21 0:00:00,0.50
532,388,1,2005-9-20 0:00:00,0.50
533,389,1,2005-9-20 0:00:00,1.50
534,390,1,2005-9-21 0:00:00,2.00
535,391,1,2005-9-21 0:00:00,1.00
536,392,1,2005-9-21 0:00:00,1.50
537,393,1,2005-9-21 0:00:00,0.50
538,394,1,2005-9-22 0:00:00,1.50
539,395,1,2005-9-22 0:00:00,1.00
540,396,1,2005-9-26 0:00:00,1.00
541,397,1,2005-9-26 0:00:00,1.00
542,397,1,2005-9-29 0:00:00,1.00
543,397,1,2005-9-30 0:00:00,1.00
544,398,1,2005-9-26 0:00:00,2.00
545,398,1,2005-9-27 0:00:00,0.50
546,398,1,2005-9-28 0:00:00,1.00
547,398,1,2005-9-29 0:00:00,1.00
548,399,1,2005-9-26 0:00:00,0.50
549,400,1,2005-9-26 0:00:00,1.00
550,401,1,2005-9-27 0:00:00,3.00
551,402,1,2005-9-27 0:00:00,1.50
552,402,1,2005-9-28 0:00:00,2.00
553,402,1,2005-9-29 0:00:00,1.00
554,403,1,2005-9-27 0:00:00,4.00
555,404,1,2005-9-28 0:00:00,0.50
556,405,1,2005-9-28 0:00:00,0.50
557,406,1,2005-9-28 0:00:00,2.00
558,407,1,2005-9-30 0:00:00,1.50
559,408,1,2005-9-30 0:00:00,0.75
560,409,1,2005-9-30 0:00:00,3.25
