>>t01_Department
"Department_ID","Name","Description","Inactive_AsOf"
1,"SR2S","Safe Routes to School",
>>t02_Project
"Project_ID","Department_IDRef","Name","Description","Inactive_AsOf"
10,4,4,2005-8-19 0:00:00,0.50
11,5,4,2005-8-23 0:00:00,1.25
12,5,4,2005-8-25 0:00:00,0.50
13,5,4,2005-8-26 0:00:00,0.75
14,6,8,2005-8-15 0:00:00,3.50
15,7,8,2005-8-16 0:00:00,6.00
16,8,8,2005-8-17 0:00:00,6.75
17,8,8,2005-8-18 0:00:00,3.75
18,9,8,2005-8-23 0:00:00,3.00
19,9,8,2005-8-24 0:00:00,1.00
20,9,8,2005-8-25 0:00:00,1.50
21,10,8,2005-8-23 0:00:00,2.00
22,10,8,2005-8-25 0:00:00,3.00
23,11,8,2005-8-24 0:00:00,2.00
24,12,8,2005-8-27 0:00:00,6.00
25,13,8,2005-8-25 0:00:00,1.50
26,14,8,2005-8-29 0:00:00,2.00
27,14,8,2005-8-31 0:00:00,1.00
28,15,8,2005-8-31 0:00:00,2.00
29,16,8,2005-8-31 0:00:00,1.00
30,17,8,2005-8-31 0:00:00,2.00
31,18,8,2005-8-29 0:00:00,4.00
32,19,3,2005-7-29 0:00:00,3.75
33,19,3,2005-7-30 0:00:00,1.00
34,19,3,2005-7-31 0:00:00,2.00
35,20,3,2005-8-1 0:00:00,2.00
36,20,3,2005-8-2 0:00:00,1.00
37,21,3,2005-8-3 0:00:00,2.50
38,21,3,2005-8-4 0:00:00,2.50
39,22,3,2005-8-8 0:00:00,3.00
40,22,3,2005-8-9 0:00:00,1.00
41,22,3,2005-8-10 0:00:00,0.75
42,22,3,2005-8-11 0:00:00,1.00
43,23,3,2005-8-17 0:00:00,0.25
44,23,3,2005-8-18 0:00:00,2.25
45,24,3,2005-8-22 0:00:00,1.75
46,25,3,2005-8-23 0:00:00,0.75
47,26,7,2005-8-15 0:00:00,6.00
48,27,7,2005-8-15 0:00:00,1.75
49,28,7,2005-8-16 0:00:00,5.75
50,29,7,2005-8-17 0:00:00,3.00
51,30,7,2005-8-17 0:00:00,2.50
52,29,7,2005-8-17 0:00:00,2.00
53,31,7,2005-8-18 0:00:00,2.50
54,32,7,2005-8-18 0:00:00,1.00
55,33,7,2005-8-18 0:00:00,2.25
56,34,7,2005-8-18 0:00:00,0.50
57,35,7,2005-8-18 0:00:00,0.50
58,36,7,2005-8-19 0:00:00,1.25
59,37,7,2005-8-19 0:00:00,1.00
60,38,7,2005-8-22 0:00:00,3.00
61,39,7,2005-8-22 0:00:00,1.50
62,26,7,2005-8-22 0:00:00,1.50
63,32,7,2005-8-22 0:00:00,0.50
64,40,7,2005-8-23 0:00:00,4.00
65,41,7,2005-8-23 0:00:00,1.00
66,42,7,2005-8-23 0:00:00,1.50
67,43,7,2005-8-24 0:00:00,4.00
68,44,7,2005-8-24 0:00:00,1.00
69,45,7,2005-8-25 0:00:00,0.50
70,46,7,2005-8-25 0:00:00,3.50
71,47,7,2005-8-26 0:00:00,1.00
72,48,7,2005-8-26 0:00:00,1.00
73,49,7,2005-8-26 0:00:00,1.50
74,49,7,2005-8-27 0:00:00,6.50
75,50,7,2005-8-29 0:00:00,2.00
76,51,7,2005-8-29 0:00:00,2.00
77,52,7,2005-8-29 0:00:00,1.50
78,35,7,2005-8-30 0:00:00,0.50
79,53,7,2005-8-30 0:00:00,2.00
80,54,7,2005-8-30 0:00:00,1.00
81,55,7,2005-8-30 0:00:00,1.00
82,35,7,2005-8-31 0:00:00,1.50
83,56,7,2005-8-31 0:00:00,2.50
84,57,7,2005-8-31 0:00:00,0.50
85,58,7,2005-8-31 0:00:00,2.50
86,59,7,2005-8-31 0:00:00,0.75
87,60,2,2005-8-1 0:00:00,8.00
88,60,2,2005-8-2 0:00:00,8.00
89,60,2,2005-8-3 0:00:00,4.00
90,61,2,2005-8-16 0:00:00,3.50
91,61,2,2005-8-17 0:00:00,1.00
92,61,2,2005-8-18 0:00:00,1.00
93,62,2,2005-8-16 0:00:00,2.00
94,63,2,2005-8-17 0:00:00,5.00
95,64,2,2005-8-18 0:00:00,5.00
96,65,2,2005-8-18 0:00:00,2.50
97,66,2,2005-8-23 0:00:00,3.00
98,63,2,2005-8-23 0:00:00,2.00
99,63,2,2005-8-25 0:00:00,1.00
100,67,2,2005-8-26 0:00:00,9.00
101,68,2,2005-8-24 0:00:00,10.00
102,69,2,2005-8-25 0:00:00,4.00
103,70,2,2005-8-25 0:00:00,2.00
104,71,2,2005-8-25 0:00:00,2.00
105,72,2,2005-8-25 0:00:00,7.00
106,73,2,2005-8-29 0:00:00,7.00
107,74,2,2005-8-30 0:00:00,4.00
108,74,2,2005-8-31 0:00:00,3.00
109,75,2,2005-8-31 0:00:00,2.00
110,76,2,2005-8-31 0:00:00,1.00
111,77,2,2005-8-30 0:00:00,4.00
112,77,2,2005-8-31 0:00:00,3.00
113,78,1,2005-7-29 0:00:00,2.00
114,79,1,2005-7-29 0:00:00,1.00
115,80,1,2005-7-30 0:00:00,1.00
116,81,1,2005-7-30 0:00:00,2.00
117,81,1,2005-7-31 0:00:00,3.00
118,82,1,2005-7-30 0:00:00,0.50
119,83,1,2005-8-1 0:00:00,8.00
120,83,1,2005-8-2 0:00:00,6.00
121,84,1,2005-8-3 0:00:00,5.00
122,85,1,2005-8-4 0:00:00,1.00
123,86,1,2005-8-4 0:00:00,0.50
124,87,1,2005-8-5 0:00:00,2.00
125,88,1,2005-8-5 0:00:00,1.00
126,89,1,2005-8-8 0:00:00,4.00
127,90,1,2005-8-8 0:00:00,1.00
128,91,1,2005-8-9 0:00:00,2.00
129,92,1,2005-8-9 0:00:00,1.00
130,93,1,2005-8-9 0:00:00,2.00
131,93,1,2005-8-10 0:00:00,3.00
132,94,1,2005-8-10 0:00:00,0.50
133,95,1,2005-8-10 0:00:00,1.00
134,96,1,2005-8-11 0:00:00,1.00
135,96,1,2005-8-12 0:00:00,2.00
136,97,1,2005-8-11 0:00:00,2.00
137,98,1,2005-8-11 0:00:00,2.00
138,99,1,2005-8-12 0:00:00,0.50
139,100,1,2005-8-12 0:00:00,2.00
140,101,1,2005-8-15 0:00:00,1.00
141,85,1,2005-8-15 0:00:00,1.00
142,92,1,2005-8-15 0:00:00,2.00
143,92,1,2005-8-18 0:00:00,1.00
144,96,1,2005-8-15 0:00:00,2.00
145,102,1,2005-8-15 0:00:00,1.00
146,102,1,2005-8-16 0:00:00,1.00
147,102,1,2005-8-19 0:00:00,1.00
148,56,1,2005-8-16 0:00:00,4.00
149,103,1,2005-8-17 0:00:00,1.00
150,103,1,2005-8-18 0:00:00,1.00
151,104,1,2005-8-17 0:00:00,4.00
152,105,1,2005-8-17 0:00:00,1.00
153,106,1,2005-8-18 0:00:00,1.00
154,107,1,2005-8-18 0:00:00,1.00
155,108,1,2005-8-19 0:00:00,6.00
156,100,1,2005-8-19 0:00:00,1.00
157,109,1,2005-8-22 0:00:00,3.50
158,110,1,2005-8-22 0:00:00,3.00
159,111,1,2005-8-23 0:00:00,1.00
160,92,1,2005-8-23 0:00:00,1.50
161,26,1,2005-8-23 0:00:00,2.00
162,112,1,2005-8-24 0:00:00,1.00
163,113,1,2005-8-24 0:00:00,1.00
164,114,1,2005-8-24 0:00:00,1.00
165,114,1,2005-8-25 0:00:00,0.50
166,104,1,2005-8-24 0:00:00,4.00
167,115,1,2005-8-25 0:00:00,1.00
168,116,1,2005-8-25 0:00:00,1.50
169,86,1,2005-8-25 0:00:00,0.50
170,117,1,2005-8-25 0:00:00,0.50
171,118,1,2005-8-26 0:00:00,6.00
172,72,1,2005-8-27 0:00:00,7.00
173,119,1,2005-8-29 0:00:00,3.00
174,120,1,2005-8-29 0:00:00,1.00
175,120,1,2005-8-30 0:00:00,1.00
176,121,1,2005-8-29 0:00:00,1.00
177,56,1,2005-8-31 0:00:00,3.00
178,122,1,2005-8-31 0:00:00,2.00
179,123,4,2005-9-7 0:00:00,0.25
180,123,4,2005-9-8 0:00:00,0.50
181,124,4,2005-9-13 0:00:00,0.25
182,124,4,2005-9-14 0:00:00,0.25
183,124,4,2005-9-15 0:00:00,0.25
184,125,4,2005-9-22 0:00:00,0.50
185,126,4,2005-9-23 0:00:00,0.50
186,127,4,2005-9-27 0:00:00,0.25
187,127,4,2005-9-28 0:00:00,0.50
188,128,12,2005-9-26 0:00:00,2.25
189,129,12,2005-9-30 0:00:00,6.50
190,18,8,2005-9-2 0:00:00,3.00
191,130,8,2005-9-2 0:00:00,0.50
192,131,8,2005-9-6 0:00:00,1.00
193,17,8,2005-9-6 0:00:00,1.00
194,132,8,2005-9-6 0:00:00,1.00
195,130,8,2005-9-13 0:00:00,0.50
196,130,8,2005-9-15 0:00:00,0.50
197,133,8,2005-9-13 0:00:00,0.50
198,134,8,2005-9-13 0:00:00,1.00
199,134,8,2005-9-15 0:00:00,3.00
200,135,8,2005-9-13 0:00:00,1.00
201,136,8,2005-9-13 0:00:00,1.00
202,137,8,2005-9-15 0:00:00,6.00
203,138,8,2005-9-13 0:00:00,1.00
204,139,8,2005-9-13 0:00:00,1.00
205,139,8,2005-9-15 0:00:00,1.50
206,140,8,2005-9-19 0:00:00,1.00
207,140,8,2005-9-20 0:00:00,2.00
208,130,8,2005-9-19 0:00:00,0.50
209,130,8,2005-9-20 0:00:00,0.50
210,130,8,2005-9-22 0:00:00,0.50
211,141,8,2005-9-22 0:00:00,2.00
212,142,8,2005-9-20 0:00:00,3.00
213,143,8,2005-9-20 0:00:00,0.50
214,144,8,2005-9-20 0:00:00,1.50
215,145,8,2005-9-20 0:00:00,1.50
216,146,8,2005-9-22 0:00:00,7.00
217,147,8,2005-9-20 0:00:00,1.50
218,148,8,2005-9-19 0:00:00,2.00
219,148,8,2005-9-20 0:00:00,0.50
220,149,8,2005-9-21 0:00:00,7.00
221,130,8,2005-9-29 0:00:00,1.00
222,150,8,2005-9-27 0:00:00,4.00
223,150,8,2005-9-28 0:00:00,2.00
224,151,8,2005-9-27 0:00:00,1.50
225,151,8,2005-9-29 0:00:00,3.00
226,152,8,2005-9-27 0:00:00,3.50
227,153,8,2005-9-28 0:00:00,1.50
228,154,8,2005-9-26 0:00:00,1.00
229,155,8,2005-9-29 0:00:00,4.00
230,156,8,2005-9-28 0:00:00,3.00
231,157,8,2005-9-30 0:00:00,4.00
232,158,3,2005-9-1 0:00:00,4.50
233,158,3,2005-9-7 0:00:00,2.75
234,158,3,2005-9-9 0:00:00,0.25
235,159,3,2005-9-6 0:00:00,0.50
236,159,3,2005-9-9 0:00:00,0.50
237,160,3,2005-9-12 0:00:00,0.25
238,160,3,2005-9-13 0:00:00,3.50
239,161,3,2005-9-21 0:00:00,0.50
240,162,3,2005-9-19 0:00:00,1.50
241,162,3,2005-9-20 0:00:00,1.00
242,162,3,2005-9-22 0:00:00,0.25
243,159,3,2005-9-19 0:00:00,1.00
244,163,3,2005-9-27 0:00:00,0.50
245,163,3,2005-9-30 0:00:00,0.50
246,164,3,2005-9-28 0:00:00,0.75
247,165,3,2005-9-26 0:00:00,1.00
248,165,3,2005-9-27 0:00:00,0.25
249,165,3,2005-9-30 0:00:00,0.75
250,166,7,2005-8-31 0:00:00,2.00
251,166,7,2005-9-2 0:00:00,0.25
252,167,7,2005-8-31 0:00:00,1.50
253,168,7,2005-8-31 0:00:00,3.00
254,168,7,2005-9-1 0:00:00,2.00
255,168,7,2005-9-2 0:00:00,2.00
256,169,7,2005-9-1 0:00:00,1.00
257,170,7,2005-9-2 0:00:00,2.25
258,171,7,2005-9-2 0:00:00,1.25
259,171,7,2005-9-4 0:00:00,0.50
260,171,7,2005-9-2 0:00:00,1.25
261,172,7,2005-8-31 0:00:00,0.25
262,173,7,2005-9-1 0:00:00,0.75
263,174,7,2005-8-31 0:00:00,1.25
264,174,7,2005-9-1 0:00:00,1.25
265,175,7,2005-9-6 0:00:00,0.25
266,176,7,2005-9-6 0:00:00,0.75
267,177,7,2005-9-6 0:00:00,0.25
268,178,7,2005-9-6 0:00:00,2.00
269,179,7,2005-9-6 0:00:00,2.00
270,180,7,2005-9-6 0:00:00,1.50
271,181,7,2005-9-6 0:00:00,1.00
272,182,7,2005-9-7 0:00:00,2.00
273,183,7,2005-9-7 0:00:00,1.25
274,184,7,2005-9-7 0:00:00,2.25
275,185,7,2005-9-7 0:00:00,0.50
276,186,7,2005-9-7 0:00:00,1.50
277,187,7,2005-9-8 0:00:00,2.25
278,180,7,2005-9-8 0:00:00,1.50
279,188,7,2005-9-8 0:00:00,2.50
280,32,7,2005-9-8 0:00:00,0.50
281,189,7,2005-9-9 0:00:00,2.00
282,190,7,2005-9-9 0:00:00,3.50
283,191,7,2005-9-9 0:00:00,1.75
284,192,7,2005-9-10 0:00:00,0.25
285,193,7,2005-9-8 0:00:00,3.25
286,193,7,2005-9-9 0:00:00,1.50
287,194,7,2005-9-12 0:00:00,2.00
288,195,7,2005-9-12 0:00:00,2.00
289,196,7,2005-9-12 0:00:00,2.00
290,197,7,2005-9-12 0:00:00,1.00
291,198,7,2005-9-12 0:00:00,0.50
292,199,7,2005-9-13 0:00:00,1.00
293,199,7,2005-9-16 0:00:00,0.50
294,200,7,2005-9-13 0:00:00,2.00
295,200,7,2005-9-15 0:00:00,0.25
296,200,7,2005-9-16 0:00:00,1.25
297,201,7,2005-9-13 0:00:00,0.25
298,202,7,2005-9-13 0:00:00,0.50
299,202,7,2005-9-15 0:00:00,1.00
300,203,7,2005-9-13 0:00:00,1.00
301,204,7,2005-9-13 0:00:00,0.25
302,205,7,2005-9-13 0:00:00,1.00
303,206,7,2005-9-14 0:00:00,0.75
304,207,7,2005-9-14 0:00:00,1.00
305,208,7,2005-9-14 0:00:00,1.00
306,209,7,2005-9-14 0:00:00,0.75
307,210,7,2005-9-14 0:00:00,0.50
308,211,7,2005-9-14 0:00:00,0.50
309,212,7,2005-9-14 0:00:00,0.50
310,213,7,2005-9-14 0:00:00,0.50
311,214,7,2005-9-14 0:00:00,0.50
312,215,7,2005-9-14 0:00:00,0.50
313,215,7,2005-9-16 0:00:00,0.25
314,216,7,2005-9-14 0:00:00,0.50
315,216,7,2005-9-15 0:00:00,0.50
316,216,7,2005-9-16 0:00:00,1.00
317,217,7,2005-9-15 0:00:00,2.00
318,218,7,2005-9-16 0:00:00,1.50
319,219,7,2005-9-16 0:00:00,2.00
320,220,7,2005-9-13 0:00:00,1.00
321,221,7,2005-9-14 0:00:00,0.50
322,221,7,2005-9-16 0:00:00,0.50
323,222,7,2005-9-14 0:00:00,0.50
324,223,7,2005-9-13 0:00:00,1.50
325,224,7,2005-9-13 0:00:00,0.25
326,225,7,2005-9-13 0:00:00,0.75
327,226,7,2005-9-15 0:00:00,1.50
328,227,7,2005-9-15 0:00:00,1.25
329,228,7,2005-9-15 0:00:00,0.50
330,229,7,2005-9-19 0:00:00,2.75
331,230,7,2005-9-19 0:00:00,1.00
332,231,7,2005-9-19 0:00:00,0.50
333,231,7,2005-9-23 0:00:00,2.00
334,232,7,2005-9-19 0:00:00,1.00
335,233,7,2005-9-19 0:00:00,1.25
336,234,7,2005-9-19 0:00:00,0.75
337,235,7,2005-9-19 0:00:00,0.50
338,236,7,2005-9-19 0:00:00,0.75
339,237,7,2005-9-19 0:00:00,0.50
340,237,7,2005-9-21 0:00:00,1.25
341,238,7,2005-9-19 0:00:00,0.25
342,239,7,2005-9-22 0:00:00,0.75
343,240,7,2005-9-20 0:00:00,0.75
344,240,7,2005-9-21 0:00:00,0.50
345,240,7,2005-9-23 0:00:00,0.25
346,241,7,2005-9-20 0:00:00,2.25
347,241,7,2005-9-22 0:00:00,2.25
348,242,7,2005-9-20 0:00:00,0.50
349,243,7,2005-9-20 0:00:00,0.50
350,56,7,2005-9-20 0:00:00,1.50
351,244,7,2005-9-20 0:00:00,1.75
352,245,7,2005-9-20 0:00:00,0.50
353,246,7,2005-9-20 0:00:00,0.50
354,247,7,2005-9-20 0:00:00,0.50
355,248,7,2005-9-20 0:00:00,0.50
356,249,7,2005-9-21 0:00:00,3.50
357,250,7,2005-9-21 0:00:00,1.25
358,251,7,2005-9-21 0:00:00,0.50
359,252,7,2005-9-21 0:00:00,0.50
360,252,7,2005-9-22 0:00:00,0.50
361,252,7,2005-9-23 0:00:00,0.50
362,253,7,2005-9-22 0:00:00,1.75
363,254,7,2005-9-21 0:00:00,1.00
364,255,7,2005-9-22 0:00:00,1.00
365,256,7,2005-9-22 0:00:00,0.75
366,257,7,2005-9-23 0:00:00,2.50
367,258,7,2005-9-23 0:00:00,0.25
368,259,7,2005-9-23 0:00:00,0.50
369,174,7,2005-9-28 0:00:00,1.00
370,174,7,2005-9-29 0:00:00,1.00
371,260,7,2005-9-26 0:00:00,0.75
372,261,7,2005-9-26 0:00:00,2.00
373,262,7,2005-9-26 0:00:00,0.50
374,263,7,2005-9-26 0:00:00,0.50
375,264,7,2005-9-26 0:00:00,4.75
376,264,7,2005-9-30 0:00:00,7.25
377,265,7,2005-9-27 0:00:00,3.00
378,265,7,2005-9-28 0:00:00,3.25
379,265,7,2005-9-30 0:00:00,1.25
380,266,7,2005-9-28 0:00:00,3.50
381,266,7,2005-9-29 0:00:00,5.00
382,267,7,2005-9-28 0:00:00,1.00
383,268,7,2005-9-28 0:00:00,1.00
384,269,7,2005-9-27 0:00:00,0.75
385,270,7,2005-9-27 0:00:00,0.50
386,271,7,2005-9-27 0:00:00,0.75
387,272,7,2005-9-30 0:00:00,1.00
388,273,7,2005-9-30 0:00:00,0.50
389,274,7,2005-9-30 0:00:00,0.75
390,275,2,2005-8-31 0:00:00,2.00
391,276,2,2005-8-31 0:00:00,2.00
392,277,2,2005-8-31 0:00:00,1.00
393,278,2,2005-8-31 0:00:00,1.50
394,279,2,2005-8-31 0:00:00,1.50
395,280,2,2005-9-5 0:00:00,1.00
396,281,2,2005-9-5 0:00:00,2.00
397,282,2,2005-9-5 0:00:00,2.00
398,283,2,2005-9-5 0:00:00,0.50
399,284,2,2005-9-5 0:00:00,1.50
400,285,2,2005-9-5 0:00:00,1.00
401,286,2,2005-9-6 0:00:00,1.00
402,287,2,2005-9-6 0:00:00,2.00
403,288,2,2005-9-6 0:00:00,3.00
404,289,2,2005-9-6 0:00:00,2.00
405,290,2,2005-9-7 0:00:00,1.00
406,291,2,2005-9-7 0:00:00,3.00
407,292,2,2005-9-7 0:00:00,2.00
408,293,2,2005-9-7 0:00:00,2.00
409,294,2,2005-9-8 0:00:00,3.00
410,295,2,2005-9-9 0:00:00,2.00
411,296,2,2005-9-9 0:00:00,3.00
412,297,2,2005-9-11 0:00:00,3.00
413,298,2,2005-9-11 0:00:00,2.00
414,299,2,2005-9-11 0:00:00,2.00
415,300,2,2005-9-11 0:00:00,1.00
416,299,2,2005-9-12 0:00:00,2.00
417,301,2,2005-9-12 0:00:00,1.00
418,302,2,2005-9-12 0:00:00,3.00
419,303,2,2005-9-12 0:00:00,2.00
420,304,2,2005-9-13 0:00:00,2.00
421,305,2,2005-9-13 0:00:00,1.00
422,306,2,2005-9-13 0:00:00,1.00
423,307,2,2005-9-13 0:00:00,2.00
424,308,2,2005-9-13 0:00:00,2.00
425,309,2,2005-9-14 0:00:00,2.00
426,310,2,2005-9-14 0:00:00,1.00
427,311,2,2005-9-14 0:00:00,1.00
428,312,2,2005-9-14 0:00:00,1.00
429,301,2,2005-9-14 0:00:00,2.00
430,298,2,2005-9-14 0:00:00,1.00
431,313,2,2005-9-11 0:00:00,1.00
432,302,2,2005-9-19 0:00:00,1.00
433,314,2,2005-9-19 0:00:00,2.00
434,315,2,2005-9-19 0:00:00,2.00
435,316,2,2005-9-19 0:00:00,2.00
436,317,2,2005-9-19 0:00:00,1.00
437,318,2,2005-9-20 0:00:00,2.00
438,319,2,2005-9-20 0:00:00,1.00
439,298,2,2005-9-20 0:00:00,2.00
440,320,2,2005-9-20 0:00:00,1.00
441,321,2,2005-9-20 0:00:00,2.00
442,322,2,2005-9-21 0:00:00,1.00
443,323,2,2005-9-21 0:00:00,2.00
444,324,2,2005-9-21 0:00:00,2.00
445,325,2,2005-9-21 0:00:00,1.00
446,298,2,2005-9-21 0:00:00,2.00
447,326,2,2005-9-22 0:00:00,2.00
448,327,2,2005-9-22 0:00:00,2.00
449,328,2,2005-9-22 0:00:00,1.00
450,298,2,2005-9-22 0:00:00,1.00
451,329,2,2005-9-22 0:00:00,2.00
452,330,2,2005-9-21 0:00:00,2.00
453,331,2,2005-9-22 0:00:00,3.00
454,332,2,2005-9-22 0:00:00,1.00
455,333,2,2005-9-19 0:00:00,2.00
456,334,2,2005-9-26 0:00:00,4.00
457,335,2,2005-9-26 0:00:00,1.00
458,336,2,2005-9-26 0:00:00,3.00
459,337,2,2005-9-26 0:00:00,1.00
460,338,2,2005-9-27 0:00:00,1.00
461,339,2,2005-9-27 0:00:00,1.00
462,340,2,2005-9-27 0:00:00,1.00
463,341,2,2005-9-27 0:00:00,1.00
464,342,2,2005-9-27 0:00:00,2.00
465,343,2,2005-9-28 0:00:00,7.00
466,344,2,2005-9-28 0:00:00,3.00
467,345,2,2005-9-28 0:00:00,1.00
468,346,2,2005-9-28 0:00:00,2.00
469,347,2,2005-9-29 0:00:00,8.00
470,348,2,2005-9-30 0:00:00,2.00
471,349,2,2005-9-30 0:00:00,2.00
472,350,1,2005-9-4 0:00:00,1.00
473,350,1,2005-9-5 0:00:00,0.50
474,351,1,2005-9-4 0:00:00,1.00
475,351,1,2005-9-5 0:00:00,0.25
476,352,1,2005-9-4 0:00:00,0.50
477,353,1,2005-9-4 0:00:00,0.75
478,354,1,2005-9-4 0:00:00,2.00
479,354,1,2005-9-5 0:00:00,1.75
480,355,1,2005-9-4 0:00:00,0.75
481,356,1,2005-9-5 0:00:00,1.00
482,357,1,2005-9-5 0:00:00,0.50
