Action_ID,Subtask_IDRef,Name,Description,Inactive_AsOf
67,14,*,PREP FOR TL TRAINING,
68,31,*,NEWSLETTER EDITING / Writing,
69,30,*,Develop letter to solicit Food Donations for Team leader meetings,
70,14,*,Phone calls to team leaders for Training Day,
71,27,*,Built Spreadsheet for team leader training,
72,14,*,Team Leader Training,
73,38,*,DEVELOPING BIKE ART DEMOS,
74,14,*,followup from team leader meeting,
75,14,*,STAFF MTG,
76,27,*,DATABASE MTG,
77,14,*,Preparing materials for Team leaders,
78,30,*,Novato Driver's Safety Campaign,
79,14,*,Team leader questions about SchoolPool,
80,7,*,Equipment storage meeting,
81,14,*,"calls/emails to/from principals, Team leaders",
82,12,*,Larkspur Superintendent re: SchoolPool,
83,27,*,"Training Administrative Assistant  in program procedures, details on schools, team leaders, elements of the program, while setting up new filing systems.",
84,11,*,Nutrition and Physical Activity meeting,
85,13,*,MOA,
86,14,*,Novato School Board rep phone call,
87,27,*,"Database structure outline, filing system",
88,14,*,communications with schools/team leaders,
89,1,*,TAM meeting,
90,14,*,communications with schools,
91,27,*,database development,
92,7,*,staff oversight,
93,18,*,Crossing guards,
94,1,*,MOU,
95,13,*,billing codes,
96,12,*,SchoolPool research,
97,31,*,Stranger danger research,
98,14,*,Team leader calls,
99,14,*,Team Leader agenda,
100,31,*,Newsletter articles,
101,12,*,SchoolPool conference call MTC,
102,14,*,School/Team Leader communication,
103,14,*,Prepare for team leader meeting,
104,31,*,Newsletter editing and writing,
105,7,*,research new principals for schools,
106,7,*,conference call on SR2S Caltrans funding,
107,13,*,create calendar for David,
108,12,*,Create SchoolPool package,
109,12,*,SchoolPool Package,
110,14,*,Novato Task Force,
111,27,*,database meeting,
112,13,*,Develop time sheets/ codes,
113,14,*,"Type Novato minutes, confer with PWD",
114,30,*,Novato Drive Safely campaign,
115,29,*,review curriculum guide,
116,10,*,Iwalk  and parade posters,
117,14,*,Reed Team Leader,
118,14,*,Prepare for team Leader training,
119,1,*,scoping meeting,
120,7,*,general administration,
121,14,*,School/Team Leader communications,
122,13,*,Development of new Timesheet per TAM request,
123,7,*,staff technical support; refined timesheet template,
124,9,*,coordinated insurance for Human Powered parade,
125,7,*,website updates,
126,9,*,volunteer recruitment for Human Powered parade poster distribution,
127,7,*,"website updates, submitted Kaiser staff insurance forms, revised timesheet template",
128,33,*,"Rodeo, Brookside",
129,33,*,"Rodeo, Dixie",
130,13,*,fill out timesheets,
131,7,*,Respond to info requestes.,
132,29,*,acquire supplies for Safety Art,
133,28,*,"Curric Mtg.,",
134,29,*,"Research Materials reproduction- teaching videos, Create new Yikes Assembly",
135,30,*,"Obtain, repair, and move tv cart hour down to MCBC, obtain free TV set for media library use",
136,32,*,Edna Maguire- Helmet Safety - 25 students -,
137,32,*,"Neil Cummings-, Stop Look and Listen- 124 students",
138,32,*,Brookside- Helmet Safety - 20 students,
139,33,*,"Meet with Mel, plan Marin Horizons Ped Day, Observe site during morning drop off",
140,7,*,"School Calender prep/scheduling, respond to info requests, Staff Meeting",
141,33,*,Prepare Bike rodeo materials for use,
142,28,*,"Schedule and plan Hill MS Program, Review teaching calender",
143,30,*,"Research Rodeo Trailer registration, go to DMV and get forms, Deliver forms to City of San Rafael.",
144,32,*,"Edna Maguire-Jepoardy,-40 students",
145,32,*,Edna Maguire-Walk around the Block-20 students-,
146,32,*,"Neil Cumming-, Walk around the block - 120 students",
147,32,*,Brokside Upper- Jepoardy- 20 students-,
148,33,*,"Marin Horizons- Marin Horizons Ped Day, Observe site with Frances",
149,33,*,Marin Horizons- K-8 Walk around the block- 200 students,
150,29,*,"Create Yikes 2 assembly, review and make improvements with staff, revise",
151,29,*,"Obtain props for new school assembly promotional program (Yikes 2), transfer equipment and load rodeo trailer for Dixie Rodeo day",
152,32,*,Hamilton ES - Yikes 1 Assembly - 525 students,
153,32,*,Manor School - Yikes 1 assembly - 330 students,
154,32,*,Brookside Upper- Create rodeo alternate plan,
155,32,*,Neil Cummings- Safety Art,
156,32,*,Glenwood- Yikes 1 assembly-  360 Students,
157,33,*,Dixies School Rodeo day - 360 students,
158,15,*,TAM staff timesheet coordination and invoice development,
159,9,*,Human Powered parade planning oversight,
160,15,*,"TAM invoice template revisions, edited/completed/printed/compiled TAM August invoice",
161,15,*,Sept and Oct staff tasks and project progress oversight,
162,15,*,"9/8 TAM meeting notes review, timesheets and signatures coordination for Parisi Assoc invoice",
163,7,*,"program projects status and staff tasks coordination oversight, highschool programs review and coordination",
164,13,*,reviewed Best Practices report,
165,9,*,Human Powered parade volunteer recruitment and site logistics oversight,
166,13,*,"learned how to send maximizer reports, saving files, time sheets",
167,28,*,sent out first scheduling email to some principals,
168,7,*,"getting back to school catch up, new staff logisits",
169,28,*,"extra staff, getting schedules",
170,29,*,overviewing curriculum from last year,
171,28,*,follow  up with schools and extra staff,
172,7,*,talking to wendi about staff priorities for walk to school week,
173,9,*,coordinating visitors and volunteers for parade,
174,13,*,timesheets / mine and teaching staff,
175,14,*,talked to Taz about safety art and rodeos,
176,28,*,extra staff for rodeos,
177,28,*,special pedestrian day,
178,7,*,"meeting with michael on scheduling, supplies, etc.",
179,28,*,meeting with afterschool programs,
180,29,*,ecovelocity clubs,
181,9,*,met with Heid about parade,
182,9,*,entertainment for parade,
183,7,*,tabling info to michael,
184,28,*,follow up phone calls to schedule classes,
185,39,*,curriciulum for MCC,
186,9,*,town council meeting,
187,9,*,human powered parade,
188,14,*,miller creek meeting,
189,9,*,meetings with police and landlord for parade,
190,32,*,teaching and training 2nd grade class (70 students),
191,9,*,"getting staff, materials ready for W2SD",
192,9,*,promo to street performers at special event,
193,29,*,prepare presentation for next generation conference,
194,32,*,teaching and training helmet safety (28 students),
195,32,*,teaching and training helmet safety (30 students),
196,28,*,responding to assembly and class requests,
197,9,*,follow ups on sponsors for parade,
198,14,*,following up with TL requesting safety art,
199,9,*,"wrote letter to local businesses , emails",
200,28,*,safety art and yikes assembly information,
201,29,*,Marin Horizon walk day,
202,29,*,bike safety assembly brainstorm,
203,29,*,meeting about SR2S gear campaign,
204,28,*,email to Ross school about special classes,
205,28,*,scheduled 4th grade classes /art with school,
206,7,*,check in meeting with Wendi,
207,9,*,special donor letters for parade,
208,9,*,emntertainment inquiries,
209,14,*,met with teachers at Drake High,
210,7,*,provided paperwork/scheduling to extra teachers,
211,29,*,downloaded pictures from local education events,
212,9,*,Description of parade on multiple listserves,
213,29,*,green transportation campaign research,
214,11,*,participation in next generation's event,
215,13,*,time sheet tasks for two days,
216,7,*,"checked emails, returned calls",
217,32,*,stop look and liten plus transportation (20 students),
218,33,*,walk around the block (30 students),
219,32,*,jeopardy and training  (30 students),
220,29,*,safety art equipment gatheiring /meeting,
221,7,*,"returning phone calls, answering emails",
222,9,*,scheudling special guests for parade,
223,9,*,delivery of letters to residents on parade route,
224,9,*,composition of letter to residents on parade route,
225,7,*,working out tax forms/ payment issues with trick rider,
226,29,*,scripting out Yikes 2 assembly with staff,
227,29,*,training staff on safety art/ school logistics,
228,14,*,talking to administration about assembly payments,
229,32,*,training and teaching jeopardy with Kristin (50 students),
230,9,*,arranging entertainment sound tech volunteer,
231,9,*,main entertainment for parade/ contract,
232,28,*,assemblies,
233,28,*,classes,
234,28,*,dixie special event logistics,
235,14,*,"walk  to school day events, support to team leaders",
236,7,*,logisitc scheduling with BMX rider for yikes and rodeos,
237,9,*,outreach to local businesses/ promotion,
238,7,*,responded to volunteer emails from students,
239,28,*,contacting staff about rodeo dates,
240,13,*,"time sheets, calender  for report",
241,33,*,walk around the block (60 students),
242,11,*,next generaton conversation about events,
243,14,*,"responded to volunteer requests ,emails",
244,28,*,met with teachers to overview schedules,
245,9,*,promotion/ meeting with town hall for event,
246,28,*,follow up about assembly details,
247,33,*,sent out rodoe and walking permission slips,
248,29,*,brainstorm and write yikes 2 script,
249,32,*,helmet saftey  60 students,
250,14,*,"returning calls to Team leaders about safety art, promotion strategies, and assemblies",
251,7,*,trained Michael/provided information about how to use safety art and assemblies to support team leaders in promoting walk to school day,
252,33,*,schedules and reminder calls to rodeo staff,
253,7,*,"trained Michael on safety art, logistics, looked over materials",
254,29,*,"safety art class talking points, etc.",
255,28,*,scheduled all classes and assembly,
256,9,*,created write ups and graphics for website,
257,14,*,met with team leader to plan club strategy,
258,28,*,yikes assembly,
259,29,*,overviewed last years club by looking at youth feed back,
260,28,*,"scheduled two yikes assemblies, safety art",
261,28,*,scheduling all classes  with school and extra teachers,
262,14,*,planning safety art with team leader,
263,14,*,editing walk to school day flyer/adding info,
264,33,*,rodeo   (350 students),
265,32,*,yikes assemblies  ( see jason's sheet),
266,32,*,safety art training and preparation and clean up (675 students),
267,29,*,"prep for safety art, brainstorming ideas with team leader",
268,28,*,scheduling staff for safety art,
269,28,*,following up on class logistics,
270,14,*,introduction conversation with team leader,
271,9,*,postering for parade,
272,32,*,safety art,
273,14,*,support team leader during the dixie bike day,
274,9,*,meeting with police about parade route,
275,27,*,REFINING INVENTORY TRACKING PROCESS,
276,14,*,PREPARED TL REFERENCE DOCUMENTS -,
277,14,*,"EMAIL: TL's at Lu Sutton, White Hill, St Anselm",
278,14,*,MEETING FOR BIKE-ART,
279,7,*,"PHONE - Dan - database, Wendi, printer",
280,27,*,INVENTORY CHANGES,
281,7,*,"PHONE -  Kel Harris, Heidi Adler, etc.",
282,14,*,CREATED TL SUPPORT PACKET,
283,27,*,INBOX/OUTBOX PLANNING,
284,14,*,MEET WITH MELANIE - BIKE ART,
285,14,*,DELIVER TL PACKETS,
286,27,*,DATABASE COPY / NOTES TO DAN,
287,14,*,PRINT DIRECTIONS FOR TL DELIVERIES,
288,14,*,CALLED PRINCIPALS FOR FLYER APPROVE,
289,9,*,UPDATING PRESS LIST,
290,10,*,MEETING - MELANIE - TABLING,
291,9,*,POSTCARD DESIGN - HPP,
292,14,*,CALLED PRINCIPALS FLYER APPROVAL,
293,9,*,EVENT PROMOTION - UPDATING PRESS LIST,
294,32,*,STOP LOOK AND LISTEN - WATCHED MELANIE,
295,10,*,PREPARE TABLING KIT FOR WHOLE FOODS,
296,10,*,TABLING AT WHOLE FOODS,
297,9,*,STARTED POSTER DESIGN - HPP,
298,14,*,VOLUNTEER COORDINATION,
299,10,*,EVENT PROMOTION - I-WALK - HPP,
300,7,*,INSTALLING SOFTWARE,
301,7,*,"EMAILS: TL's, Mary Scarlett, William Wayland",
302,10,*,EDITING PRESS RELEASES,
303,10,*,TALKING TO PRESS,
304,10,*,PITCHING STORY - PRESS,
305,10,*,CONTACTING PRINCIPALS - FLYER,
306,7,*,"PHONE: Key Feallock, Deborah A., Mary S.",
307,10,*,WRITING PARADE BLURB,
308,14,*,WROTE AND SENT GROUP EMAIL,
309,9,*,PHONE: press follow up HPP,
310,9,*,FINISH HPP POSTER,
311,10,*,CIRCULATE HPP FLYERS,
312,9,*,GET ARTWORK TO PRINTER,
313,14,*,phone - volunteer coordination,
314,7,*,RESEARCHING GEAR MFR'S,
315,40,*,STAFF MEETING,
316,10,*,PITCHING TO PRESS - HPP STORY,
317,27,*,TALKED WITH DAN / WENDI RE - DATABASE,
318,14,*,"EMAILS to event partners, team leaders",
319,10,*,PHONE CALLS TO PRINCIPALS,
320,9,*,COORDINATION WITH PRINTER - IWALK FLYER,
321,14,*,MAILING MATERIALS TO TL,
322,14,*,MEETING WITH MEL - SAFETY ART,
323,7,*,EMAILS: planning materials distribution,
324,10,*,COORDINATING POSTER / FLYER DISTRIBUTION,
325,14,*,PREPARED GROUP EMAIL DOCS- TL,
326,13,*,TIMECARD COMPLETION,
327,14,*,DELIVERING KEYCHAINS / POSTERS,
328,11,*,TALKING WITH EVENT PARTNER,
329,7,*,PHONE CALLS: volunteer coordination,
330,14,*,reply emails / phone to team leaders,
331,14,*,pickup dropoff r/t I-walk items - schools,
332,7,*,sorting / organizing safety art materials,
333,29,*,rehearsed / developed script for yikes assy.,
334,33,*,Training/Helping on Bike Rodeo- Brookside,
335,7,*,returning rental van -,
336,27,*,piciking up safety art materials,
337,13,*,filling in timesheet,
338,14,*,prep safety art materials,
339,10,*,copy of parade flyer - knikos (hand feed and cut),
340,7,*,compiling / assessing TL reports from schools,
341,10,*,edited pieces for Marin IJ in your town,
342,11,*,recruiting help for bike decorating,
343,32,*,safety art - wade thomas school - 5 classes,
344,14,*,volunteer coordination - problem solving,
345,13,*,filling out timesheet,
346,14,*,"meeting with staff - logistics, safety art",
347,32,*,safety art - Neil Cummins School - 6 classes,
348,14,*,follow-up phone calls to team-leaders,
349,10,*,coordinating vounteers to flyer for HPP,
350,14,*,"Novato Task Force - database update, set up meeting",
351,13,*,"review time sheets, reporting",
352,13,*,outline of schools joining program,
353,13,*,outline for tasks,
354,7,*,"general communications with team leaders,",
355,7,*,"staff oversight - Michael - database, team leader requests",
356,14,*,permission to distribute flyers from principals,
357,14,*,Conversations with two Reed reps,
358,14,*,Conversation with Brookside rep,
359,14,*,Conversation with Bahia Rep,
360,13,*,outline of program for 2005-6 year,
361,14,*,communications,
362,9,*,Iwalk flyer/ distribution,
363,7,*,staff oversight/ materials prep,
364,29,*,review curriculum material,
365,11,*,review school wellness policy,
366,13,*,Summary of tasks performed,
367,11,*,PA&N collabortive meeting,
368,9,*,press release  Iwalk,
369,1,*,Meeting with TAM,
370,13,*,"TAM reporting, answering questions, responding to David's inquirites, preparing August report.",
371,14,*,Novato Task Force meeting,
372,14,*,distribution of Iwalk flyers delivery list,
373,14,*,"communications Novato Task Force, Sun Valley, David Parisi, Manor school, Lagunitas misc emails",
374,17,*,comments on survey,
375,14,*,creation of sample newsletter submission for school newsletters,
376,14,*,strategies on middle and high school,
377,14,*,Meeting with Hill assistant principal,
378,14,*,Conversation with volunteer on walkabouts,
379,14,*,Conversation with new volunteer,
380,29,*,work with Jaon on Marin Horizon and new Yikes assembly,
381,14,*,converation with outgoing team leader and prep for principal meeting,
382,14,*,"misc communications, St. Anselms new team leaders,  Reed on W2SD, Hamilton, Ross, Marin Horizon",
383,21,*,refine letter to principals,
384,14,*,Call from parent at St. Anselms,
385,9,*,Press work for W2SD,
386,18,*,"prep for Tam presentation, presentation",
387,13,*,activities chart,
388,14,*,Talk to potential team leader at While Hill,
389,7,*,"staff meeting, plan for Wakl to School Day",
390,14,*,Meeting with Principal and team leaders at Edna Maguire,
391,9,*,pick up flyers from printer and deliver to Reed,
392,9,*,I walk promotion,
393,28,*,discuss logistics of scheduling staff w/Mel,
394,9,*,"preparations, promotions and misc work for Iwalk",
395,19,*,review best practices draft and made comments.,
396,14,*,working with both team leaders to resolve a conflict,
397,7,*,"Staff direction, resolving rodeo issue, directing admin on tasks, scheduling problems, crisis management",
398,14,*,"misc communications, street issues - Fairfax, Brookside, Sun Valley, Dixie, Novato task force",
399,17,*,talk with Walk Boston re best practices,
400,9,*,"walk to schohol day  questions, Reed, Vallicito, promotion",
401,14,*,Tam High Safety Meeting,
402,9,*,"Walk to School day promotino, press, e-message to team leaders",
403,41,*,Marin Horizon reconnaisance w volunteers,
404,14,*,talk to parent from Neil Cummins,
405,41,*,setting up meeting w/ Sun Valley,
406,13,*,work program,
407,41,*,Manor walkabout,
408,14,*,distribution of z-bars,
409,15,*,Prepare time cards and TAM report,
410,30,*,research GIS mapping and liability issues,
411,7,*,"correspondence, phone call w/ David",
412,13,*,Tam Monthly report,
413,14,*,correspondence/email,
414,12,*,"supplimental report, presentation to excom",
415,7,*,review of time sheet coding with staff,
416,30,*,"staff meeting, discuss report on classes taught and what is left to teach, rodeo logistics, middle school program, team leader winter training.",
417,14,*,Larkspur Working Group meeting - discussed carpooling for Larkspur community,
418,11,*,Wellness steering committee meeting,
419,14,*,"reminder notices on Hamilton walkabout and Laurel del presentation, talk with Hamilton Team Leader to prepare for walkabout",
420,14,*,gerneral correspondence,
421,29,*,Middle School meeting,
422,30,*,review reports on curriculum and events for the fall.,
423,14,*,walkabout for Hamilton.  Presentation to Laurel Del,
424,13,*,create school  task matrix,
425,14,*,"email - task forces, answering questions, staff oversight, set up meeting with Old Mill principal,",
426,13,*,Meeting with Kim and Dwayne to improve and speed up TAM reporting through new systems.,
427,13,*,"review staff timecards, prepare TAM report",
428,4,*,talked to superintendent about setting up a bicycle training for students receiving free bicycles for Tour de Calfornia and the issues about getting the program going in Sausalito schools,
429,14,*,buying cookies for w2sd,
430,14,*,w2sd with students,
431,33,*,walk around the block (20 students),
432,32,*,jeopardy (20 students),
433,28,*,presentation for the winter,
434,28,*,resending schedule to gym teacher,
435,28,*,rescheduling rained out classes,
436,14,*,corresponding with team leader about goal of involving student council in encouragement projects,
437,7,*,responding to email from the day/ timesheets,
438,7,*,working out logistics about who is in charge of following up w/extra staff on timesheets,
439,28,*,follow up on presentations/w2sd logisitcs,
440,30,*,talking with michael about food donations,
441,32,*,helmet safety (50 students),
442,7,*,Tb testing,
443,33,*,walk around the block (20 students,
444,28,*,copied certificates walk around the block,
445,28,*,"verified schedule with Frances, Jason and Kristin for the week",
446,28,*,updated maximizer with all classes taught for fall 05,
447,28,*,trying to schedule replacement teacher,
448,13,*,timesheet coordination,
449,29,*,typed up reports for staff meeting about projects to be done in January and the state of classes being taught next spring,
450,30,*,all SR2S staff meeting,
451,29,*,prepared documents for middle school meeting outlining models in other programs,
452,30,*,talked to Frances about relationships at Bacich,
453,29,*,updated rodeo manual with Jason,
454,29,*,brinstorming Middle school overall youth outreach program,
455,30,*,talked to Michael about information he needed for starting up a gear program for middle schoolers,
456,28,*,organizing transportation of gear with Kristin and Frances while away on holidays,
457,7,*,cleaning up getting ready for the holidays,
458,30,*,writing up proposal for michael to use for Middle school gear proposal,
459,29,*,"MS Test correction,HS/MS Brainstorm",
460,30,*,Staff Meeting,
461,29,*,Evaluate Middle School Bike Curric and Program,
462,28,*,Sausalito Bike Rodeo coordination,
463,27,*,Database orientation,
464,29,*,Develop High School Curriculum,
465,29,*,Rewrite Rodeo instruction manual,
466,29,*,Sausalito Rodeo- Scout rodeo site,
467,29,*,"Edit Rodeo Manual, build rodeo equipment, research other curriculum",
468,30,*,Edit SR2S Gear Proposal,
469,29,*,Develop HS Transportation Class,
470,28,*,Schedule Middle School Program,
471,29,*,Sausalito School District - plan rodeo,
472,29,*,"Develop new HS Class, Edit Rodeo Manual",
473,7,*,Respond to information requests,
474,29,*,"Build Rodeo Equipment, review other curriculum",
475,32,*,Stop Look and Listen - Gallinas - 75 students,
476,29,*,Develop HS Class,
477,14,*,Staff Meeting,
478,29,*,Plan Bayside Rodeo,
479,29,*,Build Rodeo Equipment,
480,29,*,R and D for events to be run at schools for earth week,
481,10,*,wrote up outreach draft document for yikes 2 assembly in schools,
482,14,*,catch up on messages from holiday,
483,30,*,phone conversation with Wendi about goals for this week/ scheduling staff meeting,
484,28,*,talking with potential new SR2S teaching staff,
485,29,*,wrote up draft oultine for middle school SR2S program,
486,29,*,meeting with Jason about new high school curriculm,
487,29,*,gathering material to use during MCC presentations,
488,30,*,meeting with Michael about event grants,
489,28,*,calling physical education teachers,
490,14,*,catching up on emails from holidays,
491,14,*,scheudling meeting with team leader about how to address student council,
492,29,*,puttitng together images for high school powerpoint,
493,11,*,signed up for listserves with other bike ed teachers in the county,
494,9,*,brainstorming events/contests for earth week,
495,30,*,all staff meeting,
496,29,*,preparing presentation for MCC,
497,28,*,contacting school about new Yikes 2 Assembly that is available,
498,28,*,contacting speaker for high school classes,
499,29,*,saving images for high school power point presentation,
500,29,*,brainstorming events to do for earth day,
501,28,*,creating new white board for 2006 classes,
502,11,*,presenation to youth outreach workers at Marin Conservation Corp,
503,14,*,making contacts with club leaders and brainstorming youth events,
504,11,*,practicing presentation for MCC,
505,14,*,met with team leaders to discuss how student council could participate in promotional activities,
506,7,*,database meeting,
507,29,*,research carbon calculator curriculum as idea for county wide earth day contest,
508,10,*,talked to program coordinator for headland institure about presenting at youth leadership conference,
509,9,*,"research for earth day events/ price, time, etc.",
510,29,*,began writing text for high school drive less class,
511,9,*,planning mtg about school oriented earth day events,
512,9,*,wrote up draft proposal for community ed for earth day,
513,29,*,researched name and called photography head to talk about possibilitlies of a phot contest for earth day,
514,29,*,brainstormed with youth leader about what gets teenagers involved,
515,30,*,presented high school green transportation plan and event idea to next generation,
516,29,*,responding to emails from youth educators list serve natinally,
517,28,*,scheuduled youth sr2s club meeting at miller creek,
518,29,*,meeting with Jason about high school class,
519,29,*,developing power point/finding images for High school class,
520,29,*,event brainstorm for county wide promotion contest/ internet research,
521,28,*,"sent info to vice principal about scheduling classes, scheduled student council presentation",
522,9,*,sent michael art contacts from HPP,
523,28,*,edited MVMS proposal and snet to vice principal,
524,29,*,edited rodeo manual,
525,29,*,research on other commuter challenge events around the country,
526,29,*,researched other drive less power point displays and messaging,
527,29,*,"read over the environmental educators council of Marin newsletter to find info on Bay area resources, talked to wendi about attending env. Ed fair",
528,29,*,found article in SR2s archives explaining safety patrol in order to send to Gallinas school team leaders,
529,9,*,typed up 6 templates explaining earth day initiated sr2s projects for earth day meeting,
530,10,*,created promotional sheet for team leaders about earth day classes and assemblies,
531,29,*,elaborated program ideas for earth day week for meeting,
532,9,*,researched for local artists that may want to be a part of the HPP,
533,29,*,researched ideas for county wide earth day contest involving the idea of carbon calculator,
534,14,*,created sign in sheet for team leader meeting,
535,28,*,called prinicpals about scheduling,
536,28,*,entered new principal and school contacts into database,
537,28,*,scheduled first round of 2nd grade classes,
538,14,*,talked to Mike schulist about food and material needs for club meeting for Miller Creek,
539,29,*,"worked on power point presentation/researching images, etc.",
540,29,*,talked with Jason about new ideas for the bicycle rodoe for new version of our training manual,
541,27,*,trying to figure out where to enter classes/who was teaching,
542,14,*,gathering materials together for team leader meeting,
543,29,*,editing michael's gear proposal,
544,9,*,earth day planning meeting,
545,30,*,talking to Next Generation about offering a class together for Earth day,
546,29,*,worked with Jason on text and set up for Powe r point presentation,
547,29,*,created 4 new slides for high school  power point,
548,29,*,reevaluated contact people and prioritizing projects for the rest of the school year,
549,14,*,ordered food/pick up time  for middle school meeting,
550,32,*,looked over student surveys with youth group at school,
551,29,*,talked t0 8th grade parent and teachers about barriers to youth biking to school,
552,28,*,trying to figure out email for principal of school,
553,27,*,working with michael on new database issues- sent him list of classes and instructors,
554,28,*,talking about doing a presentation at a 4/5th grade science fair,
555,30,*,conversation with next generation about new event ideas,
556,29,*,creating event outline for Sausalito,
557,29,*,talking to event organizer of Sausalito rodeo,
558,29,*,talking with Michael about Sausalito rodeo and assembly,
559,14,*,"called pizza shop seeking information about getting food donated, talked to head owner and got fax number",
560,9,*,typed up and sent notes from earth day meeting,
561,30,*,emails with youth bicycle education network,
562,28,*,scheduling classes/sending email/ follow up phone calls,
563,27,*,typed in all scheduling contacts into database,
564,9,*,created unified template for all school-based earth day ideas,
565,14,*,wrote and sent letter to pizza place for donations of food for middle school program,
566,29,*,high school powerpoint finishing touches on visuals,
567,14,*,talking to vice principal to schedule a meeting to figure out best outreach match for Mill Valley Middle school,
568,29,*,sharing ideas/brainstorming for May community ideas,
569,29,*,talked with Jason about rodeo set up/training,
570,29,*,working out details for Event/rodeo/contacts and publicity in Sausalito,
571,29,*,images and touches for Power Point,
572,28,*,recontacting teachers about classes/database,
573,11,*,talking to Roni from Next Generation,
574,27,*,learning new database,
575,30,*,phone conference with Wendi,
576,7,*,werking with Kim on set up of timesheets,
577,28,*,verifying class logistics and materials,
578,29,*,researching other programs to figure out how they market to and involve teachers in youth clubs,
579,28,*,scheduled all indoor/outdoor classes for St. Rita,
580,29,*,looked over notes for presentation ot Gallinas,
581,29,*,research on how to put on a county wide contest,
582,32,*,presentation re: SR2S for student council,
583,14,*,met with team leader to talk about follow up to student council,
584,9,*,earth day meeting,
585,7,*,Tam reporting,
586,29,*,gave Jason my opinion on new props for the rodeo,
587,11,*,"coordinated time to meet with youth env. Service leaders at school, talked about agenda for meeting",
588,29,*,"talked about promotion, and to dos for Saualito rodeo and assembly",
589,30,*,reprioritzed to do list incoorporating new event prirorities,
590,28,*,coordinated mtg. Time with wendi for princpipal mtg.,
591,14,*,talked to team leader about text of follow up email to vice principal about student council,
592,29,*,started draft of student engagement plan for middle schools,
593,29,*,did research on events used to lighten back packs around the country,
594,29,*,created proposal for activities based on results of student/parent survey for the spring,
595,28,*,contacted school principal to schedule,
596,9,*,all county event for earth day research for ideas/ running it.,
597,9,*,researced logisitical information for earth day program,
