activity_id,description,timestamp
61,"STAFF MTG, DB MTG, PREP FOR TEAM LEADER TRAINING","2005-08-16 00:00:00"
62,"DEVELOP STORAGE FACILITY FOR MATERIALS","2005-08-16 00:00:00"
63,"TEAM LEADER FORMS, W2SD AND TRAINING PREP","2005-08-17 00:00:00"
64,"developing database framework","2005-08-18 00:00:00"
65,"Editing Flyers, Etc. For HPP Parade","2005-08-18 00:00:00"
66,"MEETINGS, Parade Art Development","2005-08-23 00:00:00"
67,"PREP FOR TL TRAINING","2005-08-26 00:00:00"
68,"NEWSLETTER EDITING  Writing","2005-08-24 00:00:00"
69,"Develop letter to solicit Food Donations for Team leader meetings","2005-08-25 00:00:00"
70,"Phone calls to team leaders for Training Day","2005-08-25 00:00:00"
71,"Built Spreadsheet for team leader training","2005-08-25 00:00:00"
72,"Team Leader Training","2005-08-25 00:00:00"
73,"DEVELOPING BIKE ART DEMOS","2005-08-29 00:00:00"
74,"followup from team leader meeting","2005-08-30 00:00:00"
75,"STAFF MTG","2005-08-31 00:00:00"
76,"DATABASE MTG","2005-08-31 00:00:00"
77,"Preparing materials for Team leaders","2005-08-30 00:00:00"
78,"Novato Drivers Safety Campaign","2005-07-29 00:00:00"
79,"Team leader questions about SchoolPool","2005-07-29 00:00:00"
80,"Equipment storage meeting","2005-07-30 00:00:00"
81,"callsemails tofrom principals, Team leaders","2005-07-30 00:00:00"
82,"Larkspur Superintendent re SchoolPool","2005-07-30 00:00:00"
83,"Training Administrative Assistant  in program procedures, details on schools, team leaders, elements of the program, while setting up new filing systems.","2005-08-01 00:00:00"
84,"Nutrition and Physical Activity meeting","2005-08-03 00:00:00"
85,MOA,"2005-08-04 00:00:00"
86,"Novato School Board rep phone call","2005-08-04 00:00:00"
87,"Database structure outline, filing system","2005-08-05 00:00:00"
88,"communications with schoolsteam leaders","2005-08-05 00:00:00"
89,"TAM meeting","2005-08-08 00:00:00"
90,"communications with schools","2005-08-08 00:00:00"
91,"database development","2005-08-09 00:00:00"
92,"staff oversight","2005-08-09 00:00:00"
93,"Crossing guards","2005-08-09 00:00:00"
94,MOU,"2005-08-10 00:00:00"
95,"billing codes","2005-08-10 00:00:00"
96,"SchoolPool research","2005-08-11 00:00:00"
97,"Stranger danger research","2005-08-11 00:00:00"
98,"Team leader calls","2005-08-11 00:00:00"
99,"Team Leader agenda","2005-08-12 00:00:00"
100,"Newsletter articles","2005-08-12 00:00:00"
101,"SchoolPool conference call MTC","2005-08-15 00:00:00"
102,"SchoolTeam Leader communication","2005-08-15 00:00:00"
103,"Prepare for team leader meeting","2005-08-17 00:00:00"
104,"Newsletter editing and writing","2005-08-17 00:00:00"
105,"research new principals for schools","2005-08-17 00:00:00"
106,"conference call on SR2S Caltrans funding","2005-08-18 00:00:00"
107,"create calendar for David","2005-08-18 00:00:00"
108,"Create SchoolPool package","2005-08-19 00:00:00"
109,"SchoolPool Package","2005-08-22 00:00:00"
110,"Novato Task Force","2005-08-22 00:00:00"
111,"database meeting","2005-08-23 00:00:00"
112,"Develop time sheets codes","2005-08-24 00:00:00"
113,"Type Novato minutes, confer with PWD","2005-08-24 00:00:00"
114,"Novato Drive Safely campaign","2005-08-24 00:00:00"
115,"review curriculum guide","2005-08-25 00:00:00"
116,"Iwalk  and parade posters","2005-08-25 00:00:00"
117,"Reed Team Leader","2005-08-25 00:00:00"
118,"Prepare for team Leader training","2005-08-26 00:00:00"
119,"scoping meeting","2005-08-29 00:00:00"
120,"general administration","2005-08-29 00:00:00"
121,"SchoolTeam Leader communications","2005-08-29 00:00:00"
122,"Development of new Timesheet per TAM request","2005-08-31 00:00:00"
123,"staff technical support refined timesheet template","2005-09-07 00:00:00"
124,"coordinated insurance for Human Powered parade","2005-09-13 00:00:00"
125,"website updates","2005-09-22 00:00:00"
126,"volunteer recruitment for Human Powered parade poster distribution","2005-09-23 00:00:00"
127,"website updates, submitted Kaiser staff insurance forms, revised timesheet template","2005-09-27 00:00:00"
128,"Rodeo, Brookside","2005-09-26 00:00:00"
129,"Rodeo, Dixie","2005-09-30 00:00:00"
130,"fill out timesheets","2005-09-02 00:00:00"
131,"Respond to info requestes.","2005-09-06 00:00:00"
132,"acquire supplies for Safety Art","2005-09-06 00:00:00"
133,"Curric Mtg.,","2005-09-13 00:00:00"
134,"Research Materials reproduction- teaching videos, Create new Yikes Assembly","2005-09-13 00:00:00"
135,"Obtain, repair, and move tv cart hour down to MCBC, obtain free TV set for media library use","2005-09-13 00:00:00"
136,"Edna Maguire- Helmet Safety - 25 students -","2005-09-13 00:00:00"
137,"Neil Cummings-, Stop Look and Listen- 124 students","2005-09-15 00:00:00"
138,"Brookside- Helmet Safety - 20 students","2005-09-13 00:00:00"
139,"Meet with Mel, plan Marin Horizons Ped Day, Observe site during morning drop off","2005-09-13 00:00:00"
140,"School Calender prepscheduling, respond to info requests, Staff Meeting","2005-09-19 00:00:00"
141,"Prepare Bike rodeo materials for use","2005-09-22 00:00:00"
142,"Schedule and plan Hill MS Program, Review teaching calender","2005-09-20 00:00:00"
143,"Research Rodeo Trailer registration, go to DMV and get forms, Deliver forms to City of San Rafael.","2005-09-20 00:00:00"
144,"Edna Maguire-Jepoardy,-40 students","2005-09-20 00:00:00"
145,"Edna Maguire-Walk around the Block-20 students-","2005-09-20 00:00:00"
146,"Neil Cumming-, Walk around the block - 120 students","2005-09-22 00:00:00"
147,"Brokside Upper- Jepoardy- 20 students-","2005-09-20 00:00:00"
148,"Marin Horizons- Marin Horizons Ped Day, Observe site with Frances","2005-09-19 00:00:00"
149,"Marin Horizons- K-8 Walk around the block- 200 students","2005-09-21 00:00:00"
150,"Create Yikes 2 assembly, review and make improvements with staff, revise","2005-09-27 00:00:00"
151,"Obtain props for new school assembly promotional program Yikes 2, transfer equipment and load rodeo trailer for Dixie Rodeo day","2005-09-27 00:00:00"
152,"Hamilton ES - Yikes 1 Assembly - 525 students","2005-09-27 00:00:00"
153,"Manor School - Yikes 1 assembly - 330 students","2005-09-28 00:00:00"
154,"Brookside Upper- Create rodeo alternate plan","2005-09-26 00:00:00"
155,"Neil Cummings- Safety Art","2005-09-29 00:00:00"
156,"Glenwood- Yikes 1 assembly-  360 Students","2005-09-28 00:00:00"
157,"Dixies School Rodeo day - 360 students","2005-09-30 00:00:00"
158,"TAM staff timesheet coordination and invoice development","2005-09-01 00:00:00"
159,"Human Powered parade planning oversight","2005-09-06 00:00:00"
160,"TAM invoice template revisions, editedcompletedprintedcompiled TAM August invoice","2005-09-12 00:00:00"
161,"Sept and Oct staff tasks and project progress oversight","2005-09-21 00:00:00"
162,"98 TAM meeting notes review, timesheets and signatures coordination for Parisi Assoc invoice","2005-09-19 00:00:00"
163,"program projects status and staff tasks coordination oversight, highschool programs review and coordination","2005-09-27 00:00:00"
164,"reviewed Best Practices report","2005-09-28 00:00:00"
165,"Human Powered parade volunteer recruitment and site logistics oversight","2005-09-26 00:00:00"
166,"learned how to send maximizer reports, saving files, time sheets","2005-08-31 00:00:00"
167,"sent out first scheduling email to some principals","2005-08-31 00:00:00"
168,"getting back to school catch up, new staff logisits","2005-08-31 00:00:00"
169,"extra staff, getting schedules","2005-09-01 00:00:00"
170,"overviewing curriculum from last year","2005-09-02 00:00:00"
171,"follow  up with schools and extra staff","2005-09-02 00:00:00"
172,"talking to wendi about staff priorities for walk to school week","2005-08-31 00:00:00"
173,"coordinating visitors and volunteers for parade","2005-09-01 00:00:00"
174,"timesheets  mine and teaching staff","2005-08-31 00:00:00"
175,"talked to Taz about safety art and rodeos","2005-09-06 00:00:00"
176,"extra staff for rodeos","2005-09-06 00:00:00"
177,"special pedestrian day","2005-09-06 00:00:00"
178,"meeting with michael on scheduling, supplies, etc.","2005-09-06 00:00:00"
179,"meeting with afterschool programs","2005-09-06 00:00:00"
180,"ecovelocity clubs","2005-09-06 00:00:00"
181,"met with Heid about parade","2005-09-06 00:00:00"
182,"entertainment for parade","2005-09-07 00:00:00"
183,"tabling info to michael","2005-09-07 00:00:00"
184,"follow up phone calls to schedule classes","2005-09-07 00:00:00"
185,"curriciulum for MCC","2005-09-07 00:00:00"
186,"town council meeting","2005-09-07 00:00:00"
187,"human powered parade","2005-09-08 00:00:00"
188,"miller creek meeting","2005-09-08 00:00:00"
189,"meetings with police and landlord for parade","2005-09-09 00:00:00"
190,"teaching and training 2nd grade class 70 students","2005-09-09 00:00:00"
191,"getting staff, materials ready for W2SD","2005-09-09 00:00:00"
192,"promo to street performers at special event","2005-09-10 00:00:00"
193,"prepare presentation for next generation conference","2005-09-08 00:00:00"
194,"teaching and training helmet safety 28 students","2005-09-12 00:00:00"
195,"teaching and training helmet safety 30 students","2005-09-12 00:00:00"
196,"responding to assembly and class requests","2005-09-12 00:00:00"
197,"follow ups on sponsors for parade","2005-09-12 00:00:00"
198,"following up with TL requesting safety art","2005-09-12 00:00:00"
199,"wrote letter to local businesses , emails","2005-09-13 00:00:00"
200,"safety art and yikes assembly information","2005-09-13 00:00:00"
201,"Marin Horizon walk day","2005-09-13 00:00:00"
202,"bike safety assembly brainstorm","2005-09-13 00:00:00"
203,"meeting about SR2S gear campaign","2005-09-13 00:00:00"
204,"email to Ross school about special classes","2005-09-13 00:00:00"
205,"scheduled 4th grade classes art with school","2005-09-13 00:00:00"
206,"check in meeting with Wendi","2005-09-14 00:00:00"
207,"special donor letters for parade","2005-09-14 00:00:00"
208,"emntertainment inquiries","2005-09-14 00:00:00"
209,"met with teachers at Drake High","2005-09-14 00:00:00"
210,"provided paperworkscheduling to extra teachers","2005-09-14 00:00:00"
211,"downloaded pictures from local education events","2005-09-14 00:00:00"
212,"Description of parade on multiple listserves","2005-09-14 00:00:00"
213,"green transportation campaign research","2005-09-14 00:00:00"
214,"participation in next generations event","2005-09-14 00:00:00"
215,"time sheet tasks for two days","2005-09-14 00:00:00"
216,"checked emails, returned calls","2005-09-14 00:00:00"
217,"stop look and liten plus transportation 20 students","2005-09-15 00:00:00"
218,"walk around the block 30 students","2005-09-16 00:00:00"
219,"jeopardy and training  30 students","2005-09-16 00:00:00"
220,"safety art equipment gatheiring meeting","2005-09-13 00:00:00"
221,"returning phone calls, answering emails","2005-09-14 00:00:00"
222,"scheudling special guests for parade","2005-09-14 00:00:00"
223,"delivery of letters to residents on parade route","2005-09-13 00:00:00"
224,"composition of letter to residents on parade route","2005-09-13 00:00:00"
225,"working out tax forms payment issues with trick rider","2005-09-13 00:00:00"
226,"scripting out Yikes 2 assembly with staff","2005-09-15 00:00:00"
227,"training staff on safety art school logistics","2005-09-15 00:00:00"
228,"talking to administration about assembly payments","2005-09-15 00:00:00"
229,"training and teaching jeopardy with Kristin 50 students","2005-09-19 00:00:00"
230,"arranging entertainment sound tech volunteer","2005-09-19 00:00:00"
231,"main entertainment for parade contract","2005-09-19 00:00:00"
232,assemblies,"2005-09-19 00:00:00"
233,classes,"2005-09-19 00:00:00"
234,"dixie special event logistics","2005-09-19 00:00:00"
235,"walk  to school day events, support to team leaders","2005-09-19 00:00:00"
236,"logisitc scheduling with BMX rider for yikes and rodeos","2005-09-19 00:00:00"
237,"outreach to local businesses promotion","2005-09-19 00:00:00"
238,"responded to volunteer emails from students","2005-09-19 00:00:00"
239,"contacting staff about rodeo dates","2005-09-22 00:00:00"
240,"time sheets, calender  for report","2005-09-20 00:00:00"
241,"walk around the block 60 students","2005-09-20 00:00:00"
242,"next generaton conversation about events","2005-09-20 00:00:00"
243,"responded to volunteer requests ,emails","2005-09-20 00:00:00"
244,"met with teachers to overview schedules","2005-09-20 00:00:00"
245,"promotion meeting with town hall for event","2005-09-20 00:00:00"
246,"follow up about assembly details","2005-09-20 00:00:00"
247,"sent out rodoe and walking permission slips","2005-09-20 00:00:00"
248,"brainstorm and write yikes 2 script","2005-09-20 00:00:00"
249,"helmet saftey  60 students","2005-09-21 00:00:00"
250,"returning calls to Team leaders about safety art, promotion strategies, and assemblies","2005-09-21 00:00:00"
251,"trained Michaelprovided information about how to use safety art and assemblies to support team leaders in promoting walk to school day","2005-09-21 00:00:00"
252,"schedules and reminder calls to rodeo staff","2005-09-21 00:00:00"
253,"trained Michael on safety art, logistics, looked over materials","2005-09-22 00:00:00"
254,"safety art class talking points, etc.","2005-09-21 00:00:00"
255,"scheduled all classes and assembly","2005-09-22 00:00:00"
256,"created write ups and graphics for website","2005-09-22 00:00:00"
257,"met with team leader to plan club strategy","2005-09-23 00:00:00"
258,"yikes assembly","2005-09-23 00:00:00"
259,"overviewed last years club by looking at youth feed back","2005-09-23 00:00:00"
260,"scheduled two yikes assemblies, safety art","2005-09-26 00:00:00"
261,"scheduling all classes  with school and extra teachers","2005-09-26 00:00:00"
262,"planning safety art with team leader","2005-09-26 00:00:00"
263,"editing walk to school day flyeradding info","2005-09-26 00:00:00"
264,"rodeo   350 students","2005-09-26 00:00:00"
265,"yikes assemblies   see jasons sheet","2005-09-27 00:00:00"
266,"safety art training and preparation and clean up 675 students","2005-09-28 00:00:00"
267,"prep for safety art, brainstorming ideas with team leader","2005-09-28 00:00:00"
268,"scheduling staff for safety art","2005-09-28 00:00:00"
269,"following up on class logistics","2005-09-27 00:00:00"
270,"introduction conversation with team leader","2005-09-27 00:00:00"
271,"postering for parade","2005-09-27 00:00:00"
272,"safety art","2005-09-30 00:00:00"
273,"support team leader during the dixie bike day","2005-09-30 00:00:00"
274,"meeting with police about parade route","2005-09-30 00:00:00"
275,"REFINING INVENTORY TRACKING PROCESS","2005-08-31 00:00:00"
276,"PREPARED TL REFERENCE DOCUMENTS -","2005-08-31 00:00:00"
277,"EMAIL TLs at Lu Sutton, White Hill, St Anselm","2005-08-31 00:00:00"
278,"MEETING FOR BIKE-ART","2005-08-31 00:00:00"
279,"PHONE - Dan - database, Wendi, printer","2005-08-31 00:00:00"
280,"INVENTORY CHANGES","2005-09-05 00:00:00"
281,"PHONE -  Kel Harris, Heidi Adler, etc.","2005-09-05 00:00:00"
282,"CREATED TL SUPPORT PACKET","2005-09-05 00:00:00"
283,"INBOXOUTBOX PLANNING","2005-09-05 00:00:00"
284,"MEET WITH MELANIE - BIKE ART","2005-09-05 00:00:00"
285,"DELIVER TL PACKETS","2005-09-05 00:00:00"
286,"DATABASE COPY  NOTES TO DAN","2005-09-06 00:00:00"
287,"PRINT DIRECTIONS FOR TL DELIVERIES","2005-09-06 00:00:00"
288,"CALLED PRINCIPALS FOR FLYER APPROVE","2005-09-06 00:00:00"
289,"UPDATING PRESS LIST","2005-09-06 00:00:00"
290,"MEETING - MELANIE - TABLING","2005-09-07 00:00:00"
291,"POSTCARD DESIGN - HPP","2005-09-07 00:00:00"
292,"CALLED PRINCIPALS FLYER APPROVAL","2005-09-07 00:00:00"
293,"EVENT PROMOTION - UPDATING PRESS LIST","2005-09-07 00:00:00"
294,"STOP LOOK AND LISTEN - WATCHED MELANIE","2005-09-08 00:00:00"
295,"PREPARE TABLING KIT FOR WHOLE FOODS","2005-09-09 00:00:00"
296,"TABLING AT WHOLE FOODS","2005-09-09 00:00:00"
297,"STARTED POSTER DESIGN - HPP","2005-09-11 00:00:00"
298,"VOLUNTEER COORDINATION","2005-09-11 00:00:00"
299,"EVENT PROMOTION - I-WALK - HPP","2005-09-11 00:00:00"
300,"INSTALLING SOFTWARE","2005-09-11 00:00:00"
301,"EMAILS TLs, Mary Scarlett, William Wayland","2005-09-12 00:00:00"
302,"EDITING PRESS RELEASES","2005-09-12 00:00:00"
303,"TALKING TO PRESS","2005-09-12 00:00:00"
304,"PITCHING STORY - PRESS","2005-09-13 00:00:00"
305,"CONTACTING PRINCIPALS - FLYER","2005-09-13 00:00:00"
306,"PHONE Key Feallock, Deborah A., Mary S.","2005-09-13 00:00:00"
307,"WRITING PARADE BLURB","2005-09-13 00:00:00"
308,"WROTE AND SENT GROUP EMAIL","2005-09-13 00:00:00"
309,"PHONE press follow up HPP","2005-09-14 00:00:00"
310,"FINISH HPP POSTER","2005-09-14 00:00:00"
311,"CIRCULATE HPP FLYERS","2005-09-14 00:00:00"
312,"GET ARTWORK TO PRINTER","2005-09-14 00:00:00"
313,"phone - volunteer coordination","2005-09-11 00:00:00"
314,"RESEARCHING GEAR MFRS","2005-09-19 00:00:00"
315,"STAFF MEETING","2005-09-19 00:00:00"
316,"PITCHING TO PRESS - HPP STORY","2005-09-19 00:00:00"
317,"TALKED WITH DAN  WENDI RE - DATABASE","2005-09-19 00:00:00"
318,"EMAILS to event partners, team leaders","2005-09-20 00:00:00"
319,"PHONE CALLS TO PRINCIPALS","2005-09-20 00:00:00"
320,"COORDINATION WITH PRINTER - IWALK FLYER","2005-09-20 00:00:00"
321,"MAILING MATERIALS TO TL","2005-09-20 00:00:00"
322,"MEETING WITH MEL - SAFETY ART","2005-09-21 00:00:00"
323,"EMAILS planning materials distribution","2005-09-21 00:00:00"
324,"COORDINATING POSTER  FLYER DISTRIBUTION","2005-09-21 00:00:00"
325,"PREPARED GROUP EMAIL DOCS- TL","2005-09-21 00:00:00"
326,"TIMECARD COMPLETION","2005-09-22 00:00:00"
327,"DELIVERING KEYCHAINS  POSTERS","2005-09-22 00:00:00"
328,"TALKING WITH EVENT PARTNER","2005-09-22 00:00:00"
329,"PHONE CALLS volunteer coordination","2005-09-22 00:00:00"
330,"reply emails  phone to team leaders","2005-09-21 00:00:00"
331,"pickup dropoff rt I-walk items - schools","2005-09-22 00:00:00"
332,"sorting  organizing safety art materials","2005-09-22 00:00:00"
333,"rehearsed  developed script for yikes assy.","2005-09-19 00:00:00"
334,"TrainingHelping on Bike Rodeo- Brookside","2005-09-26 00:00:00"
335,"returning rental van -","2005-09-26 00:00:00"
336,"piciking up safety art materials","2005-09-26 00:00:00"
337,"filling in timesheet","2005-09-26 00:00:00"
338,"prep safety art materials","2005-09-27 00:00:00"
339,"copy of parade flyer - knikos hand feed and cut","2005-09-27 00:00:00"
340,"compiling  assessing TL reports from schools","2005-09-27 00:00:00"
341,"edited pieces for Marin IJ in your town","2005-09-27 00:00:00"
342,"recruiting help for bike decorating","2005-09-27 00:00:00"
343,"safety art - wade thomas school - 5 classes","2005-09-28 00:00:00"
344,"volunteer coordination - problem solving","2005-09-28 00:00:00"
345,"filling out timesheet","2005-09-28 00:00:00"
346,"meeting with staff - logistics, safety art","2005-09-28 00:00:00"
347,"safety art - Neil Cummins School - 6 classes","2005-09-29 00:00:00"
348,"follow-up phone calls to team-leaders","2005-09-30 00:00:00"
349,"coordinating vounteers to flyer for HPP","2005-09-30 00:00:00"
350,"Novato Task Force - database update, set up meeting","2005-09-04 00:00:00"
351,"review time sheets, reporting","2005-09-04 00:00:00"
352,"outline of schools joining program","2005-09-04 00:00:00"
353,"outline for tasks","2005-09-04 00:00:00"
354,"general communications with team leaders,","2005-09-04 00:00:00"
355,"staff oversight - Michael - database, team leader requests","2005-09-04 00:00:00"
356,"permission to distribute flyers from principals","2005-09-05 00:00:00"
357,"Conversations with two Reed reps","2005-09-05 00:00:00"
358,"Conversation with Brookside rep","2005-09-05 00:00:00"
359,"Conversation with Bahia Rep","2005-09-05 00:00:00"
360,"outline of program for 2005-6 year","2005-09-06 00:00:00"
361,communications,"2005-09-06 00:00:00"
362,"Iwalk flyer distribution","2005-09-06 00:00:00"
363,"staff oversight materials prep","2005-09-06 00:00:00"
364,"review curriculum material","2005-09-06 00:00:00"
365,"review school wellness policy","2005-09-06 00:00:00"
366,"Summary of tasks performed","2005-09-07 00:00:00"
367,"PA&N collabortive meeting","2005-09-07 00:00:00"
368,"press release  Iwalk","2005-09-08 00:00:00"
369,"Meeting with TAM","2005-09-08 00:00:00"
370,"TAM reporting, answering questions, responding to Davids inquirites, preparing August report.","2005-09-12 00:00:00"
371,"Novato Task Force meeting","2005-09-12 00:00:00"
372,"distribution of Iwalk flyers delivery list","2005-09-12 00:00:00"
373,"communications Novato Task Force, Sun Valley, David Parisi, Manor school, Lagunitas misc emails","2005-09-12 00:00:00"
374,"comments on survey","2005-09-13 00:00:00"
375,"creation of sample newsletter submission for school newsletters","2005-09-13 00:00:00"
376,"strategies on middle and high school","2005-09-14 00:00:00"
377,"Meeting with Hill assistant principal","2005-09-19 00:00:00"
378,"Conversation with volunteer on walkabouts","2005-09-19 00:00:00"
379,"Conversation with new volunteer","2005-09-19 00:00:00"
380,"work with Jaon on Marin Horizon and new Yikes assembly","2005-09-19 00:00:00"
381,"converation with outgoing team leader and prep for principal meeting","2005-09-19 00:00:00"
382,"misc communications, St. Anselms new team leaders,  Reed on W2SD, Hamilton, Ross, Marin Horizon","2005-09-19 00:00:00"
383,"refine letter to principals","2005-09-19 00:00:00"
384,"Call from parent at St. Anselms","2005-09-19 00:00:00"
385,"Press work for W2SD","2005-09-20 00:00:00"
386,"prep for Tam presentation, presentation","2005-09-20 00:00:00"
387,"activities chart","2005-09-20 00:00:00"
388,"Talk to potential team leader at While Hill","2005-09-20 00:00:00"
389,"staff meeting, plan for Wakl to School Day","2005-09-20 00:00:00"
390,"Meeting with Principal and team leaders at Edna Maguire","2005-09-21 00:00:00"
391,"pick up flyers from printer and deliver to Reed","2005-09-21 00:00:00"
392,"I walk promotion","2005-09-21 00:00:00"
393,"discuss logistics of scheduling staff wMel","2005-09-21 00:00:00"
394,"preparations, promotions and misc work for Iwalk","2005-09-22 00:00:00"
395,"review best practices draft and made comments.","2005-09-22 00:00:00"
396,"working with both team leaders to resolve a conflict","2005-09-26 00:00:00"
397,"Staff direction, resolving rodeo issue, directing admin on tasks, scheduling problems, crisis management","2005-09-26 00:00:00"
398,"misc communications, street issues - Fairfax, Brookside, Sun Valley, Dixie, Novato task force","2005-09-26 00:00:00"
399,"talk with Walk Boston re best practices","2005-09-26 00:00:00"
400,"walk to schohol day  questions, Reed, Vallicito, promotion","2005-09-26 00:00:00"
401,"Tam High Safety Meeting","2005-09-27 00:00:00"
402,"Walk to School day promotino, press, e-message to team leaders","2005-09-27 00:00:00"
403,"Marin Horizon reconnaisance w volunteers","2005-09-27 00:00:00"
404,"talk to parent from Neil Cummins","2005-09-28 00:00:00"
405,"setting up meeting w Sun Valley","2005-09-28 00:00:00"
406,"work program","2005-09-28 00:00:00"
407,"Manor walkabout","2005-09-30 00:00:00"
408,"distribution of z-bars","2005-09-30 00:00:00"
409,"Prepare time cards and TAM report","2005-09-30 00:00:00"
410,"research GIS mapping and liability issues","2005-12-04 00:00:00"
411,"correspondence, phone call w David","2005-12-04 00:00:00"
412,"Tam Monthly report","2005-12-05 00:00:00"
413,correspondenceemail,"2005-12-05 00:00:00"
414,"supplimental report, presentation to excom","2005-12-05 00:00:00"
415,"review of time sheet coding with staff","2005-12-06 00:00:00"
416,"staff meeting, discuss report on classes taught and what is left to teach, rodeo logistics, middle school program, team leader winter training.","2005-12-06 00:00:00"
417,"Larkspur Working Group meeting - discussed carpooling for Larkspur community","2005-12-06 00:00:00"
418,"Wellness steering committee meeting","2005-12-07 00:00:00"
419,"reminder notices on Hamilton walkabout and Laurel del presentation, talk with Hamilton Team Leader to prepare for walkabout","2005-12-08 00:00:00"
420,"gerneral correspondence","2005-12-08 00:00:00"
421,"Middle School meeting","2005-12-08 00:00:00"
422,"review reports on curriculum and events for the fall.","2005-12-08 00:00:00"
423,"walkabout for Hamilton.  Presentation to Laurel Del","2005-12-09 00:00:00"
424,"create school  task matrix","2005-12-12 00:00:00"
425,"email - task forces, answering questions, staff oversight, set up meeting with Old Mill principal,","2005-12-12 00:00:00"
426,"Meeting with Kim and Dwayne to improve and speed up TAM reporting through new systems.","2005-12-13 00:00:00"
427,"review staff timecards, prepare TAM report","2005-12-13 00:00:00"
