account_id,accounting_idref,name,description,inactive_asof,timestamp
82,1,77,"Tamiscal HS",,"2014-10-14 22:00:40"
83,1,81,"St. Rita",,"2014-10-14 22:00:40"
84,1,82,"Our Lady of Loretto",,"2014-10-14 22:00:40"
85,1,DX,Dixie,,"2014-10-14 22:00:40"
86,1,KT,Kentfield,,"2014-10-14 22:00:40"
87,1,TC,"Twin Cities",,"2014-10-14 22:00:40"
88,1,MV,"Mill Valley",,"2014-10-14 22:00:40"
89,1,NV,Novato,,"2014-10-14 22:00:40"
90,1,RD,Reed,,"2014-10-14 22:00:40"
91,1,RV,"Ross Valley",,"2014-10-14 22:00:40"
92,1,SR,"San Rafael",,"2014-10-14 22:00:40"
93,1,WM,"West Marin",,"2014-10-14 22:00:40"
94,1,PD,"Paradise Drive",,"2014-10-14 22:00:40"
95,1,83,"Novato Charter",,"2014-10-14 22:00:40"
96,1,84,"Cascade Canyon",,"2014-10-14 22:00:40"
97,1,85,"Lycee Francais",,"2014-10-14 22:00:40"
98,1,86,"Mountain Granada",,"2014-10-14 22:00:40"
99,1,87,"Greenwood School",,"2014-10-14 22:00:40"
100,1,88,"Hidden Valley ES",,"2014-10-14 22:00:40"
101,1,*,"Empty account",,"2014-10-14 22:00:40"
